Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Confidence
Human,1,1,1,1,Visual,TR,1.5,1.5,1.3226,2
Human,1,1,1,2,Visual,TR,1.5,1.5,2.2855,2
Human,1,1,1,3,Visual,TR,1.5,1.5,1.3363,2
Human,1,1,1,4,Visual,TR,1.5,1.5,1.6974,2
Human,1,1,1,5,Visual,TR,1.5,1.5,1.6577,3
Human,1,1,1,6,Visual,TR,1.5,1.5,2.4473,2
Human,1,1,1,7,Visual,TR,1.5,1.5,2.6052,2
Human,1,1,1,8,Visual,TR,1.5,1.5,1.7494,2
Human,1,1,1,9,Visual,TR,1.5,1.5,1.5249,1
Human,1,1,1,10,Visual,TR,1.5,1.5,1.9145,3
Human,1,1,1,11,Visual,TR,1.5,1.5,1.4769,2
Human,1,1,1,12,Visual,TR,1.5,1.5,2.0798,2
Human,1,1,1,13,Visual,TR,1.5,1.5,1.681,2
Human,1,1,1,14,Visual,TR,1.5,1.5,1.745,3
Human,1,1,1,15,Visual,TR,1.5,1.5,1.7693,2
Human,1,1,1,16,Visual,TR,1.5,1.5,2.1807,1
Human,1,1,1,17,Visual,TR,1.5,1.5,2.3849,1
Human,1,1,1,18,Visual,TR,1.5,1.5,1.6565,2
Human,1,1,1,19,Visual,TR,1.5,1.5,2.0943,3
Human,1,1,1,20,Visual,TR,1.5,1.5,2.9833,2
Human,1,1,1,21,Visual,TR,1.5,1.5,1.8393,3
Human,1,1,1,22,Visual,TR,1.5,1.5,1.5073,2
Human,1,1,1,23,Visual,TR,1.5,1.5,1.9675,3
Human,1,1,1,24,Visual,TR,1.5,1.5,2.0218,2
Human,1,1,1,25,Visual,TR,1.5,1.5,1.8787,2
Human,1,1,1,26,Visual,TR,1.5,1.5,1.8567,3
Human,1,1,1,27,Visual,TR,1.5,1.5,1.9343,3
Human,1,1,1,28,Visual,TR,1.5,1.5,1.5653,2
Human,1,1,1,29,Visual,TR,1.5,1.5,1.3498,3
