Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,7121,1,1,1,Short,PI,15;38,5,-11.74.68.960000000000001;1.34;3;3.16;4.32;4.8;6.18;15.22,-11.68.760000000000002;1.32;1.52;3.06;3.28;4.56;5.18;6.34;15.34;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72;-16.72
Rat,7121,1,1,2,Short,PI,15;38,5,-1.62;1.08;1.38;1.78;2.03999999999999;2.67999999999999;3.58;3.89999999999999;4.28;5.16;45.48,-1.48;1.11999999999999;1.75999999999999;2;2.17999999999999;2.86;3.67999999999999;4.02;4.61999999999999;5.28;45.56;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76;-108.76
Rat,7121,1,1,3,Short,PI,15;38,5,-1.06;1.23999999999995;1.65999999999997;1.95999999999998;2.12;2.69999999999999;3.29999999999995;4.25999999999999;4.47999999999996;5.01999999999998;6.41999999999996;6.62;7.15999999999997;8.44,-1.02000000000004;1.29999999999995;1.91999999999996;2.09999999999997;2.21999999999997;3;3.44;4.35999999999996;5;5.29999999999995;6.53999999999996;6.81999999999999;7.29999999999995;8.47999999999996;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54;-348.54
Rat,7121,1,1,4,Short,PI,15;38,5,-1.56;1.56;2.06;2.84000000000003;3.44;3.66000000000003;4.07999999999998;4.38;4.69999999999999;4.98000000000002;5.13999999999999;5.40000000000003;6.30000000000001;6.90000000000003,-1.42000000000002;2.01999999999998;2.34000000000003;3.06;3.62;3.75999999999999;4.30000000000001;4.62;4.84000000000003;5.12;5.36000000000001;5.5;6.38;6.94;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26;-479.26
Rat,7121,1,1,5,Short,PI,15;38,5,1.39999999999998;1.70000000000005;2.48000000000002;3.18000000000006;3.39999999999998;4.34000000000003;4.74000000000001;5.77999999999997;6.03999999999996;6.65999999999997;8.10000000000002;8.32000000000005,1.44000000000005;2.22000000000003;2.86000000000001;3.38;3.53999999999996;4.38;4.98000000000002;5.96000000000004;6.63999999999999;6.86000000000001;8.22000000000003;8.44000000000006;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64;-848.64
Rat,7121,1,1,6,Short,PI,15;38,5,-1;3.67999999999995;3.89999999999998;4.05999999999995;4.57999999999993;4.93999999999994;5.17999999999995;5.39999999999998;5.63999999999999;6.31999999999994;6.57999999999993;6.8599999999999;7.55999999999995;8.59999999999991;9.39999999999998,-0.940000000000055;3.77999999999997;3.91999999999996;4.31999999999994;4.88;5.12;5.38;5.59999999999991;5.79999999999995;6.45999999999992;6.67999999999995;7.07999999999993;7.65999999999997;8.75999999999999;9.57999999999993;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82;-960.82
Rat,7121,1,1,7,Short,PI,15;38,5,1.11999999999989;1.37999999999988;2.07999999999993;2.31999999999994;2.51999999999998;2.63999999999987;3.53999999999996;5.46000000000004;7.05999999999995;8.79999999999996;9.43999999999983,1.24000000000001;2;2.22000000000003;2.46000000000004;2.61999999999989;2.74000000000001;3.87999999999988;5.55999999999995;7.24000000000001;9;9.55999999999995;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92;-1168.92
Rat,7121,1,1,8,Short,PI,15;38,5,-9.55999999999995;-9.03999999999996;-8.79999999999996;1.59999999999991;2.07999999999993;2.51999999999998;3;3.22000000000003;4.09999999999991;4.87999999999988;6.57999999999993;7.09999999999991;7.55999999999995;8.57999999999993;10.0599999999999;10.22,-9.3599999999999;-8.90000000000009;-8.66000000000008;2.01999999999998;2.24000000000001;2.94000000000005;3.18000000000006;3.3599999999999;4.53999999999996;5.09999999999991;6.77999999999997;7.27999999999997;7.74000000000001;8.61999999999989;10.1400000000001;10.3399999999999;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74;-1374.74
Rat,7121,1,1,9,Short,PI,15;38,5,1.94000000000005;2.20000000000005;2.5;2.70000000000005;2.8599999999999;3.83999999999992;4.33999999999992;5.51999999999998;6.03999999999996;6.3599999999999;6.72000000000003;6.98000000000002;7.48000000000002;8.53999999999996;8.79999999999996;10.3199999999999;10.9199999999998;11.26,2.07999999999993;2.44000000000005;2.65999999999985;2.81999999999994;2.96000000000004;4.07999999999993;4.5;5.75999999999999;6.29999999999995;6.67999999999984;6.96000000000004;7.05999999999995;7.55999999999995;8.63999999999987;9.03999999999996;10.3599999999999;11.0799999999999;11.4199999999998;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94;-1478.94
Rat,7121,1,1,10,Short,PI,15;38,5,-7.94000000000006;-7.51999999999998;1.39999999999986;2.18000000000006;2.46000000000004;2.70000000000005;2.87999999999988;3.15999999999985;3.39999999999986;4.24000000000001;4.44000000000006;4.92000000000007;5.25999999999999;5.81999999999994;6.3599999999999;7.33999999999992;8.39999999999986;8.70000000000005;9.20000000000005,-7.88000000000011;-7.31999999999994;1.68000000000006;2.42000000000007;2.68000000000006;2.83999999999992;3.13999999999987;3.3599999999999;3.55999999999995;4.42000000000007;4.57999999999993;5.03999999999996;5.46000000000004;6.31999999999994;6.53999999999996;7.79999999999995;8.57999999999993;8.8599999999999;9.39999999999986;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96;-1555.96
