Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Confidence
Human,1,1,1,1,Visual,TR,1.5,1.5,1.7253,2
Human,1,1,1,2,Visual,TR,1.5,1.5,1.427,3
Human,1,1,1,3,Visual,TR,1.5,1.5,1.7754,1
Human,1,1,1,4,Visual,TR,1.5,1.5,1.6179,2
Human,1,1,1,5,Visual,TR,1.5,1.5,1.8229,2
Human,1,1,1,6,Visual,TR,1.5,1.5,1.3176,2
Human,1,1,1,7,Visual,TR,1.5,1.5,1.695,2
Human,1,1,1,8,Visual,TR,1.5,1.5,1.5829,2
Human,1,1,1,9,Visual,TR,1.5,1.5,1.4777,2
Human,1,1,1,10,Visual,TR,1.5,1.5,1.6902,2
Human,1,1,1,11,Visual,TR,1.5,1.5,1.4562,3
Human,1,1,1,12,Visual,TR,1.5,1.5,2.5646,1
Human,1,1,1,13,Visual,TR,1.5,1.5,1.5245,1
Human,1,1,1,14,Visual,TR,1.5,1.5,1.712,2
Human,1,1,1,15,Visual,TR,1.5,1.5,1.6525,2
Human,1,1,1,16,Visual,TR,1.5,1.5,1.7395,2
Human,1,1,1,17,Visual,TR,1.5,1.5,1.4535,2
Human,1,1,1,18,Visual,TR,1.5,1.5,1.3598,2
Human,1,1,1,19,Visual,TR,1.5,1.5,1.7548,2
Human,1,1,1,20,Visual,TR,1.5,1.5,1.3282,2
Human,1,1,1,21,Visual,TR,1.5,1.5,1.6901,2
Human,1,1,1,22,Visual,TR,1.5,1.5,1.579,2
Human,1,1,1,23,Visual,TR,1.5,1.5,1.6421,2
Human,1,1,1,24,Visual,TR,1.5,1.5,1.8989,2
Human,1,1,1,25,Visual,TR,1.5,1.5,1.823,2
Human,1,1,1,26,Visual,TR,1.5,1.5,1.0643,2
Human,1,1,1,27,Visual,TR,1.5,1.5,1.3589,2
Human,1,1,1,28,Visual,TR,1.5,1.5,1.5744,2
Human,1,1,1,29,Visual,TR,1.5,1.5,1.3784,2
Human,1,1,1,30,Visual,TR,1.5,1.5,1.5308,3
Human,1,1,1,31,Visual,TR,1.5,1.5,1.4373,2
Human,1,1,1,32,Visual,TR,1.5,1.5,1.5537,3
Human,1,1,1,33,Visual,TR,1.5,1.5,1.4856,3
Human,1,1,1,34,Visual,TR,1.5,1.5,1.6938,2
Human,1,1,1,35,Visual,TR,1.5,1.5,2.1398,1
Human,1,1,1,36,Visual,TR,1.5,1.5,2.562,1
Human,1,1,1,37,Visual,TR,1.5,1.5,1.4957,2
Human,1,1,1,38,Visual,TR,1.5,1.5,1.6172,1
Human,1,1,1,39,Visual,TR,1.5,1.5,1.4716,2
Human,1,1,1,40,Visual,TR,1.5,1.5,1.4022,2
Human,1,1,1,41,Visual,TR,1.5,1.5,1.593,2
Human,1,1,1,42,Visual,TR,1.5,1.5,1.5222,2
Human,1,1,1,43,Visual,TR,1.5,1.5,1.6972,2
Human,1,1,1,44,Visual,TR,1.5,1.5,1.2724,2
Human,1,1,1,45,Visual,TR,1.5,1.5,1.5387,2
Human,1,1,1,46,Visual,TR,1.5,1.5,1.579,2
Human,1,1,1,47,Visual,TR,1.5,1.5,1.3448,2
Human,1,1,1,48,Visual,TR,1.5,1.5,1.3675,2
Human,1,1,1,49,Visual,TR,1.5,1.5,1.3771,2
Human,1,1,1,50,Visual,TR,1.5,1.5,1.241,3
Human,1,1,1,51,Visual,TR,1.5,1.5,1.393,2
Human,1,1,1,52,Visual,TR,1.5,1.5,1.2974,3
Human,1,1,1,53,Visual,TR,1.5,1.5,1.2612,2
Human,1,1,1,54,Visual,TR,1.5,1.5,1.3282,2
Human,1,1,1,55,Visual,TR,1.5,1.5,1.4326,2
Human,1,1,1,56,Visual,TR,1.5,1.5,1.6033,3
Human,1,1,1,57,Visual,TR,1.5,1.5,1.5913,3
Human,1,1,1,58,Visual,TR,1.5,1.5,1.4481,2
Human,1,1,1,59,Visual,TR,1.5,1.5,1.4207,3
Human,1,1,1,60,Visual,TR,1.5,1.5,1.848,2
Human,2,1,1,1,Visual,TR,1.5,1.5,1.871,3
Human,2,1,1,2,Visual,TR,1.5,1.5,1.7441,3
Human,2,1,1,3,Visual,TR,1.5,1.5,1.0997,3
Human,2,1,1,4,Visual,TR,1.5,1.5,1.6282,2
Human,2,1,1,5,Visual,TR,1.5,1.5,1.2119,3
Human,2,1,1,6,Visual,TR,1.5,1.5,0.70619,2
Human,2,1,1,7,Visual,TR,1.5,1.5,1.5087,3
Human,2,1,1,8,Visual,TR,1.5,1.5,1.8025,3
Human,2,1,1,9,Visual,TR,1.5,1.5,1.6472,3
Human,2,1,1,10,Visual,TR,1.5,1.5,1.2322,2
Human,2,1,1,11,Visual,TR,1.5,1.5,1.2155,3
Human,2,1,1,12,Visual,TR,1.5,1.5,1.6846,3
Human,2,1,1,13,Visual,TR,1.5,1.5,0.96511,3
Human,2,1,1,14,Visual,TR,1.5,1.5,1.8537,3
Human,2,1,1,15,Visual,TR,1.5,1.5,1.2934,3
Human,2,1,1,16,Visual,TR,1.5,1.5,1.7519,3
Human,2,1,1,17,Visual,TR,1.5,1.5,1.5384,3
Human,2,1,1,18,Visual,TR,1.5,1.5,1.6958,3
Human,2,1,1,19,Visual,TR,1.5,1.5,1.2541,3
Human,2,1,1,20,Visual,TR,1.5,1.5,1.3277,3
Human,2,1,1,21,Visual,TR,1.5,1.5,1.8242,3
Human,2,1,1,22,Visual,TR,1.5,1.5,1.7013,3
