Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140
Rat,12401,1,1,11,Audiovisual,PI,4;8;16,8,3.61999999999989;3.98000000000047;4.86000000000058;5.14000000000033;5.94000000000051;6.86000000000058;7.23999999999978;7.68000000000029;8.34000000000015;9.02000000000044;9.53999999999996;10.1000000000004;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,12,Audiovisual,PI,4;8;16,8,2.60000000000036;2.92000000000007;3.94000000000051;4.22000000000026;4.61999999999989;5.07999999999993;5.72000000000026;5.94000000000051;6.23999999999978;6.57999999999993;6.98000000000047;7.27999999999975;8.18000000000029;8.34000000000015;8.68000000000029;8.90000000000055;9.22000000000026;10.1999999999998;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,1,Audiovisual,PI,4;8;16,16,7.18000000000001;8.97999999999996;9.88;10.42;10.98;11.56;12.6;13.74;14.68;15;15.26;15.58;16.02;16.66;17.14;17.7;17.94;18.18;18.74;19.94;20.66;20.84;21.58;22.02;22.28;22.86;23.26;23.84;24.64;26.3;27.4;35.9;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,2,Audiovisual,PI,4;8;16,16,5.01999999999998;5.65999999999997;7.15999999999997;7.79999999999995;8.38;9.36000000000001;10.04;11.3199999999999;11.66;12.76;12.8399999999999;13.2199999999999;13.52;13.88;14.4;14.7199999999999;15.86;17.2199999999999;17.4599999999999;17.74;18.0599999999999;18.5999999999999;18.9799999999999;19.5799999999999;19.66;19.8399999999999;20.18;20.7199999999999;21.78;23.92;24.4399999999999;24.6999999999999;25.4799999999999;26.8;34.4;34.9799999999999;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,3,Audiovisual,PI,4;8;16,16,4.48000000000002;5.08000000000016;9.55999999999995;12.1600000000001;13.28;13.78;14.76;15.1400000000001;15.4400000000001;15.74;16.1800000000001;16.46;16.7;17.1400000000001;18.1000000000001;19.02;19.3800000000001;19.78;20.0800000000002;20.4000000000001;20.6400000000001;20.8800000000001;21.4400000000001;22.02;22.72;23.24;23.3800000000001;24.54;24.6000000000001;24.78;25.0800000000002;25.4200000000001;25.9200000000001;26.4400000000001;26.9000000000001;28.04;28.5599999999999;29.1800000000001;29.28;29.54;30.5;30.6600000000001;31.46;31.8199999999999;32.1600000000001;34.1800000000001;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,4,Audiovisual,PI,4;8;16,16,4.22000000000003;5.04000000000019;5.2800000000002;5.72000000000003;6.30000000000018;7.04000000000019;7.86000000000013;8.52000000000021;9;9.70000000000005;10.8400000000001;11;11.3800000000001;11.8800000000001;12.1800000000001;12.6600000000001;12.8800000000001;13.48;14.4400000000001;14.96;15.1800000000001;15.46;15.74;16.1000000000001;16.6000000000001;16.8000000000002;18.1600000000001;18.5800000000002;18.96;19.1400000000001;19.4400000000001;19.72;20.1400000000001;20.6800000000001;21.5800000000002;22.2800000000002;23.9200000000001;24.3200000000002;25.46;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,5,Audiovisual,PI,4;8;16,16,3.13999999999987;3.98000000000002;4.65999999999985;5.63999999999987;6.38000000000011;6.65999999999985;6.96000000000004;7.61999999999989;8.11999999999989;9.05999999999995;9.48000000000002;9.86000000000013;10.1799999999998;10.54;11.7800000000002;12.0799999999999;12.3600000000001;12.6999999999998;13.04;13.46;13.8000000000002;14.2800000000002;15.04;16.0799999999999;16.1599999999999;16.5999999999999;16.9200000000001;17.3400000000001;17.6999999999998;18.2600000000002;19.6999999999998;20.6599999999999;21.7600000000002;22.3400000000001;23.4400000000001;25.02;25.54;25.8400000000001;26.2199999999998;26.48;26.5999999999999;27.3000000000002;29.5999999999999;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,6,Audiovisual,PI,4;8;16,16,10.2399999999998;10.7999999999997;11.1999999999998;11.7199999999998;12;12.2199999999998;12.5999999999999;12.9599999999996;13.5799999999999;13.8199999999997;14.1799999999998;14.5599999999999;15.4199999999996;16.1999999999998;16.3399999999997;16.9199999999996;17.2999999999997;17.8399999999997;18.2199999999998;18.9599999999996;19.4799999999996;19.9599999999996;21.0599999999999;21.2399999999998;21.8799999999997;22.2399999999998;22.6599999999999;23.2399999999998;24.1199999999999;24.5799999999999;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,7,Audiovisual,PI,4;8;16,16,5.11999999999989;5.46000000000004;6;7.57999999999993;8.30000000000018;9.77999999999975;10.2199999999998;10.7599999999998;11.8800000000001;12.4000000000001;12.8200000000002;13.2599999999998;14.2799999999997;14.9000000000001;15.2199999999998;15.5799999999999;15.8800000000001;16.2599999999998;17.46;17.98;18.4400000000001;18.7399999999998;19.1799999999998;20.0999999999999;20.3800000000001;20.8400000000001;21.1199999999999;21.7399999999998;23.0799999999999;24.46;25;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,8,Audiovisual,PI,4;8;16,16,3.46000000000004;6.16000000000031;6.80000000000018;7.80000000000018;8.2800000000002;8.5600000000004;8.96000000000004;10.4000000000001;10.7400000000002;11.2000000000003;11.6000000000004;11.8600000000001;12.48;12.7400000000002;13.98;14.4200000000001;14.54;14.98;15.2200000000003;15.5;16.02;16.7400000000002;18.0800000000004;19.2800000000002;20.2200000000003;20.6600000000003;21.0800000000004;21.2400000000002;21.54;21.96;23.3800000000001;23.7600000000002;25.0600000000004;26.48;27;27.46;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,9,Audiovisual,PI,4;8;16,16,0.920000000000073;2.59999999999991;3.96000000000004;4.96000000000004;5.38000000000011;5.59999999999991;6.01999999999998;7.09999999999991;7.42000000000007;8;8.2800000000002;8.70000000000027;9.03999999999996;9.53999999999996;9.7800000000002;10.3600000000001;10.6400000000003;11.5;12.1600000000003;12.4400000000001;12.7800000000002;13.0999999999999;13.4200000000001;13.9200000000001;14.48;15.48;16.7400000000002;17.3200000000002;18;18.2600000000002;18.7800000000002;18.96;19.5999999999999;19.9200000000001;20.3200000000002;20.52;20.7200000000003;21.1800000000003;21.9000000000001;22.7800000000002;43.1400000000003;44.1200000000003;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,10,Audiovisual,PI,4;8;16,16,3.76000000000022;15.7200000000003;17.2600000000002;18.8000000000002;19.9200000000001;20.3199999999997;20.7799999999997;21.3199999999997;21.9399999999996;22.46;23.3000000000002;24.0199999999995;24.3000000000002;24.6999999999998;25.1800000000003;25.5;26;27.0799999999999;27.7200000000003;27.9799999999996;28.2399999999998;28.6000000000004;29.3599999999997;30.7399999999998;32.0199999999995;32.7399999999998;33.0599999999995;33.46;33.9200000000001;34.5199999999995;36.1400000000003;59.2799999999997;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,11,Audiovisual,PI,4;8;16,16,10.5600000000004;11.7600000000002;12.2600000000002;12.5799999999999;12.9800000000005;13.8000000000002;14.1400000000003;14.4000000000005;14.7200000000003;15.04;15.2799999999997;16;16.8599999999997;17.2200000000003;17.4800000000005;17.8599999999997;18.4200000000001;18.8000000000002;19.7600000000002;21.3199999999997;22.5600000000004;22.8800000000001;23.3599999999997;23.96;24.4000000000005;24.5600000000004;24.96;25.4000000000005;25.8800000000001;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,12,Audiovisual,PI,4;8;16,16,2.18000000000029;4.53999999999996;7.88000000000011;10;11.7600000000002;12.1400000000003;13.3000000000002;13.6400000000003;13.8600000000006;14.1800000000003;14.5600000000004;14.8200000000006;15.1599999999999;16.3400000000001;16.9200000000001;17.3400000000001;17.8000000000002;18.1000000000004;18.7600000000002;19.7600000000002;20.04;20.9400000000005;21.1800000000003;22.1000000000004;22.3600000000006;22.6599999999999;22.9400000000005;23.7600000000002;24.6000000000004;24.9400000000005;26.2200000000003;26.5;26.6800000000003;27.5200000000004;28.0200000000004;28.4200000000001;28.9400000000005;29.4000000000005;31.54;31.9000000000005;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,13,Audiovisual,PI,4;8;16,16,4.94000000000051;5.94000000000051;7.26000000000022;8.20000000000073;8.46000000000004;9.46000000000004;10.4800000000005;11.9400000000005;12;12.3400000000001;12.5799999999999;12.8800000000001;13.3600000000006;14.4000000000005;14.5200000000004;14.96;16.2800000000007;16.7200000000003;17.0200000000004;17.3000000000002;17.6000000000004;18.1000000000004;18.7000000000007;19.1400000000003;48.4400000000005;49.4400000000005;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,14,Audiovisual,PI,4;8;16,16,6.96000000000004;10.0200000000004;11.3000000000002;11.9000000000005;12.3600000000006;13.6199999999999;13.9400000000005;15.2600000000002;15.6000000000004;15.8400000000001;16.1800000000003;16.4800000000005;17.0200000000004;17.3200000000006;18.04;18.54;19.6199999999999;20.0200000000004;20.8200000000006;21.0600000000004;21.4000000000005;21.6000000000004;21.8800000000001;22.4000000000005;23.0799999999999;23.5799999999999;25.7200000000003;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
