Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,9121,1,1,12,Short,PI,15;36,4,4.15999999999985;4.61999999999989;5.07999999999993;5.60000000000036;6.57999999999993;6.89999999999964,4.57999999999993;5.0600000000004;5.52000000000044;6.5600000000004;6.84000000000015;7.14000000000033;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54
Rat,9121,1,1,13,Short,PI,15;36,4,3.91999999999916;4.5;4.85999999999967;6.23999999999978;6.73999999999978,4.45999999999913;4.75999999999931;6.21999999999935;6.63999999999942;6.83999999999924;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52
Rat,9121,1,1,1,Long,PI,15;36,12,-5.84;6.29999999999998;16.4;29.46;42.08,-5.5;6.85999999999999;17;30.02;42.5;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52
Rat,9121,1,1,2,Long,PI,15;36,12,3.03999999999996;25.9;40.5799999999999;52.6999999999999,3.45999999999992;26.68;40.9799999999999;53.0799999999999;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58
Rat,9121,1,1,3,Long,PI,15;36,12,5.48000000000002;27.4399999999999;28.6;31.04,6;28.02;29.14;31.5;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62;-797.62
Rat,9121,1,1,4,Long,PI,15;36,12,2.03999999999996;3.51999999999998;4.15999999999985;6.13999999999987;7.09999999999991;7.65999999999985;8.19999999999982;8.51999999999998;9.77999999999997;10.5999999999999;26.9799999999998;27.4199999999998;29.78;31.3199999999999,2.41999999999985;4.09999999999991;4.59999999999991;6.93999999999983;7.3599999999999;8.07999999999993;8.47999999999979;9.05999999999995;10.3399999999999;10.78;27.3999999999999;28.24;30;31.8999999999999;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14;-1034.14
Rat,9121,1,1,5,Long,PI,15;36,12,4.55999999999995;6.24000000000001;6.87999999999988;7;8.15999999999985;8.83999999999992;9.27999999999997;9.74000000000001;10.24;10.54;12.8;13.6599999999999;14;14.3999999999999;14.74;15.72;15.8399999999999;17.78;18.5799999999999;19.26;19.5799999999999,6.09999999999991;6.70000000000005;6.89999999999986;7.18000000000006;8.74000000000001;9.09999999999991;9.44000000000006;10.1199999999999;10.5;10.6199999999999;13.5;13.98;14.26;14.6800000000001;15.6599999999999;15.8;15.96;18.5;19;19.48;20.3399999999999;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2;-1821.2
Rat,9121,1,1,6,Long,PI,15;36,12,-12.24;-9.81999999999994;-8.55999999999995;-7.88000000000011;-7.27999999999997;-6.70000000000005;-6.31999999999994;-3.88000000000011;-2.96000000000004;-2.57999999999993;-2.24000000000001;-2;-1.70000000000005;8.05999999999995;10.48;11.4400000000001;12.04;12.4200000000001;12.9200000000001;13.24;13.8399999999999;14.3199999999999;14.6800000000001;16.26;17.4200000000001;17.8199999999999;18.1800000000001;19.2,-11.72;-8.68000000000006;-7.98000000000002;-7.38000000000011;-6.72000000000003;-6.60000000000014;-6.03999999999996;-3.07999999999993;-2.72000000000003;-2.44000000000005;-2.10000000000014;-1.86000000000013;-1.40000000000009;8.98000000000002;11.3599999999999;11.96;12.3799999999999;12.6600000000001;13.2;13.4400000000001;14.0599999999999;14.5599999999999;15.0799999999999;17.0999999999999;17.7;18;18.3;19.4400000000001;-1938.22;-1938.22
Rat,9121,1,1,7,Long,PI,15;36,12,2.72000000000025;4.72000000000026;5.64000000000033;6.14000000000033;6.66000000000031;7.62000000000035;9.12000000000035;9.84000000000015;10.7400000000002;11.3200000000002;12.2000000000003;13.98;15.0600000000004;16.2400000000002;17.1400000000003;17.98;18.48;19.0200000000004;19.8200000000002;38;59.7800000000002,3.72000000000025;5.48000000000002;6.02000000000044;6.38000000000011;7.16000000000031;7.7800000000002;9.76000000000022;10.3800000000001;10.9200000000001;12.0200000000004;12.4200000000001;14.96;16.0400000000004;16.4400000000001;17.7400000000002;18.1200000000003;18.6400000000003;19.1800000000003;20.1400000000003;38.3000000000002;60;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24;-2057.24
Rat,9121,1,1,8,Long,PI,15;36,12,-14.0999999999999;2.96000000000004;4.88000000000011;5.98000000000002;6.67999999999984;8.79999999999973;9.7199999999998;10.5;11.0599999999999;13.2999999999997;15.1599999999999;15.4200000000001;15.7999999999997;16.5999999999999;18.2799999999997;19.4200000000001,-13.8800000000001;3.44000000000005;5.90000000000009;6.42000000000007;7.11999999999989;9.59999999999991;10.1999999999998;10.7799999999997;11.2799999999997;15.0799999999999;15.3600000000001;15.6999999999998;16.2399999999998;16.7999999999997;18.7999999999997;19.6399999999999;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9;-2727.9
