Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response
Human,10,1,4,2,Visual,TR,2.12;4.24,4.24,3.463279963
Human,10,1,4,3,Visual,TR,2.12;4.24,2.12,1.482336044
Human,10,1,4,4,Visual,TR,2.12;4.24,4.24,3.73123312
Human,10,1,4,5,Visual,TR,2.12;4.24,2.12,2.27332902
Human,10,1,4,6,Visual,TR,2.12;4.24,2.12,2.887882948
Human,10,1,4,7,Visual,TR,2.12;4.24,2.12,1.302930832
Human,10,1,4,8,Visual,TR,2.12;4.24,2.12,2.097963095
Human,10,1,4,9,Visual,TR,2.12;4.24,2.12,1.743231058
Human,10,1,4,10,Visual,TR,2.12;4.24,4.24,3.393041134
Human,10,1,4,11,Visual,TR,2.12;4.24,2.12,2.638891935
Human,10,1,4,12,Visual,TR,2.12;4.24,4.24,3.437510014
Human,10,1,4,13,Visual,TR,2.12;4.24,2.12,1.886631012
Human,10,1,4,14,Visual,TR,2.12;4.24,4.24,3.070016861
Human,10,1,4,15,Visual,TR,2.12;4.24,2.12,1.957324028
Human,10,1,4,16,Visual,TR,2.12;4.24,4.24,3.285562038
Human,10,1,4,17,Visual,TR,2.12;4.24,4.24,3.251790047
Human,10,1,4,18,Visual,TR,2.12;4.24,4.24,2.096330881
Human,10,1,4,19,Visual,TR,2.12;4.24,2.12,3.006479025
Human,10,1,4,20,Visual,TR,2.12;4.24,2.12,2.279076815
Human,10,1,4,21,Visual,TR,2.12;4.24,2.12,1.776388168
Human,10,1,4,22,Visual,TR,2.12;4.24,4.24,2.613451958
Human,10,1,4,23,Visual,TR,2.12;4.24,2.12,1.42415309
Human,10,1,4,24,Visual,TR,2.12;4.24,4.24,2.569804907
Human,10,1,4,25,Visual,TR,2.12;4.24,4.24,2.242235184
Human,11,1,1,1,Visual,TR,2.12;4.24,4.24,4.621033907
Human,11,1,1,2,Visual,TR,2.12;4.24,4.24,2.740633011
Human,11,1,1,3,Visual,TR,2.12;4.24,2.12,1.998406887
Human,11,1,1,4,Visual,TR,2.12;4.24,4.24,2.541641951
Human,11,1,1,5,Visual,TR,2.12;4.24,4.24,3.214643002
Human,11,1,1,6,Visual,TR,2.12;4.24,4.24,2.636106014
Human,11,1,1,7,Visual,TR,2.12;4.24,2.12,1.165920019
Human,11,1,1,8,Visual,TR,2.12;4.24,2.12,1.921700001
Human,11,1,1,9,Visual,TR,2.12;4.24,2.12,1.820327997
Human,11,1,1,10,Visual,TR,2.12;4.24,4.24,2.792143106
Human,11,1,1,11,Visual,TR,2.12;4.24,4.24,3.080354929
Human,11,1,1,12,Visual,TR,2.12;4.24,2.12,1.663101912
Human,11,1,1,13,Visual,TR,2.12;4.24,4.24,2.458142042
Human,11,1,1,14,Visual,TR,2.12;4.24,2.12,1.02498889
Human,11,1,1,15,Visual,TR,2.12;4.24,2.12,1.847414017
Human,11,1,1,16,Visual,TR,2.12;4.24,4.24,2.44236517
Human,11,1,1,17,Visual,TR,2.12;4.24,4.24,4.145828962
Human,11,1,1,18,Visual,TR,2.12;4.24,4.24,3.175155878
Human,11,1,1,19,Visual,TR,2.12;4.24,2.12,3.926921129
Human,11,1,1,20,Visual,TR,2.12;4.24,2.12,1.981534004
Human,11,1,1,21,Visual,TR,2.12;4.24,4.24,2.846271992
Human,11,1,1,22,Visual,TR,2.12;4.24,2.12,2.479547977
Human,11,1,1,23,Visual,TR,2.12;4.24,2.12,3.001277208
Human,11,1,1,24,Visual,TR,2.12;4.24,2.12,2.739519119
Human,11,1,1,25,Visual,TR,2.12;4.24,2.12,1.801006079
Human,11,1,2,1,Visual,TR,2.12;4.24,4.24,3.567253828
Human,11,1,2,2,Visual,TR,2.12;4.24,2.12,2.692035913
Human,11,1,2,3,Visual,TR,2.12;4.24,2.12,3.13291502
Human,11,1,2,4,Visual,TR,2.12;4.24,2.12,2.222364902
Human,11,1,2,5,Visual,TR,2.12;4.24,2.12,1.759753942
Human,11,1,2,6,Visual,TR,2.12;4.24,4.24,4.248697996
Human,11,1,2,7,Visual,TR,2.12;4.24,2.12,2.45695281
Human,11,1,2,8,Visual,TR,2.12;4.24,4.24,3.202660084
Human,11,1,2,9,Visual,TR,2.12;4.24,2.12,1.980841875
Human,11,1,2,10,Visual,TR,2.12;4.24,2.12,2.011776924
Human,11,1,2,11,Visual,TR,2.12;4.24,4.24,3.926430941
Human,11,1,2,12,Visual,TR,2.12;4.24,2.12,2.309048891
Human,11,1,2,13,Visual,TR,2.12;4.24,2.12,1.980948925
Human,11,1,2,14,Visual,TR,2.12;4.24,2.12,2.156025887
Human,11,1,2,15,Visual,TR,2.12;4.24,4.24,5.827988863
Human,11,1,2,16,Visual,TR,2.12;4.24,4.24,4.03719902
Human,11,1,2,17,Visual,TR,2.12;4.24,2.12,1.617633104
Human,11,1,2,18,Visual,TR,2.12;4.24,4.24,4.16847682
Human,11,1,2,19,Visual,TR,2.12;4.24,4.24,3.926619053
Human,11,1,2,20,Visual,TR,2.12;4.24,4.24,4.241671085
Human,11,1,2,21,Visual,TR,2.12;4.24,4.24,4.862121105
Human,11,1,2,22,Visual,TR,2.12;4.24,4.24,4.640525818
Human,11,1,2,23,Visual,TR,2.12;4.24,4.24,4.762062073
Human,11,1,2,24,Visual,TR,2.12;4.24,4.24,4.890357018
Human,11,1,2,25,Visual,TR,2.12;4.24,4.24,6.256117105
Human,11,1,3,1,Visual,TR,2.12;4.24,2.12,0.208564997
Human,11,1,3,2,Visual,TR,2.12;4.24,2.12,1.882130861
Human,11,1,3,3,Visual,TR,2.12;4.24,4.24,4.933474064
Human,11,1,3,4,Visual,TR,2.12;4.24,2.12,2.749438047
Human,11,1,3,5,Visual,TR,2.12;4.24,2.12,2.146332026
Human,11,1,3,6,Visual,TR,2.12;4.24,2.12,2.508018017
Human,11,1,3,7,Visual,TR,2.12;4.24,4.24,3.792448997
Human,11,1,3,8,Visual,TR,2.12;4.24,2.12,2.041659117
Human,11,1,3,9,Visual,TR,2.12;4.24,2.12,1.45580411
Human,11,1,3,10,Visual,TR,2.12;4.24,2.12,2.531067133
Human,11,1,3,11,Visual,TR,2.12;4.24,2.12,2.000926971
Human,11,1,3,12,Visual,TR,2.12;4.24,4.24,2.644536018
Human,11,1,3,13,Visual,TR,2.12;4.24,4.24,4.013522148
Human,11,1,3,14,Visual,TR,2.12;4.24,4.24,4.450693846
Human,11,1,3,15,Visual,TR,2.12;4.24,2.12,2.848868132
Human,11,1,3,16,Visual,TR,2.12;4.24,2.12,2.719329119
Human,11,1,3,17,Visual,TR,2.12;4.24,4.24,0.130234003
Human,11,1,3,18,Visual,TR,2.12;4.24,4.24,3.330604076
Human,11,1,3,19,Visual,TR,2.12;4.24,2.12,1.822136164
Human,11,1,3,20,Visual,TR,2.12;4.24,4.24,3.503262997
Human,11,1,3,21,Visual,TR,2.12;4.24,4.24,4.120690823
Human,11,1,3,22,Visual,TR,2.12;4.24,4.24,4.76397109
Human,11,1,3,23,Visual,TR,2.12;4.24,2.12,1.665413857
Human,11,1,3,24,Visual,TR,2.12;4.24,4.24,2.747888088
Human,11,1,3,25,Visual,TR,2.12;4.24,4.24,4.644513845
Human,11,1,4,1,Visual,TR,2.12;4.24,4.24,4.070698023
Human,11,1,4,2,Visual,TR,2.12;4.24,4.24,3.973769903
Human,11,1,4,3,Visual,TR,2.12;4.24,2.12,2.615073919
Human,11,1,4,4,Visual,TR,2.12;4.24,4.24,4.116281033
Human,11,1,4,5,Visual,TR,2.12;4.24,2.12,1.74971509
Human,11,1,4,6,Visual,TR,2.12;4.24,2.12,2.136133909
Human,11,1,4,7,Visual,TR,2.12;4.24,2.12,1.917811871
Human,11,1,4,8,Visual,TR,2.12;4.24,2.12,1.98524189
Human,11,1,4,9,Visual,TR,2.12;4.24,2.12,1.698825121
Human,11,1,4,10,Visual,TR,2.12;4.24,4.24,3.941902876
Human,11,1,4,11,Visual,TR,2.12;4.24,2.12,1.709928989
Human,11,1,4,12,Visual,TR,2.12;4.24,4.24,3.365914106
Human,11,1,4,13,Visual,TR,2.12;4.24,2.12,2.065426111
Human,11,1,4,14,Visual,TR,2.12;4.24,4.24,2.348313093
Human,11,1,4,15,Visual,TR,2.12;4.24,2.12,1.915614128
Human,11,1,4,16,Visual,TR,2.12;4.24,4.24,2.344271898
Human,11,1,4,17,Visual,TR,2.12;4.24,4.24,3.283699989
Human,11,1,4,18,Visual,TR,2.12;4.24,4.24,3.57464385
Human,11,1,4,19,Visual,TR,2.12;4.24,2.12,1.992125988
Human,11,1,4,20,Visual,TR,2.12;4.24,2.12,1.928143024
Human,11,1,4,21,Visual,TR,2.12;4.24,2.12,1.993530989
Human,11,1,4,22,Visual,TR,2.12;4.24,4.24,4.228155136
Human,11,1,4,23,Visual,TR,2.12;4.24,2.12,1.607114077
Human,11,1,4,24,Visual,TR,2.12;4.24,4.24,3.816877842
Human,11,1,4,25,Visual,TR,2.12;4.24,4.24,4.184788227
Human,12,1,1,1,Visual,TR,2.12;4.24,2.12,1.63962698
Human,12,1,1,2,Visual,TR,2.12;4.24,4.24,3.580919981
Human,12,1,1,3,Visual,TR,2.12;4.24,2.12,2.030437946
Human,12,1,1,4,Visual,TR,2.12;4.24,2.12,2.499131918
Human,12,1,1,5,Visual,TR,2.12;4.24,2.12,1.315457106
Human,12,1,1,6,Visual,TR,2.12;4.24,4.24,4.21757102
Human,12,1,1,7,Visual,TR,2.12;4.24,2.12,0.851706028
Human,12,1,1,8,Visual,TR,2.12;4.24,4.24,3.387319088
Human,12,1,1,9,Visual,TR,2.12;4.24,4.24,2.549967051
Human,12,1,1,10,Visual,TR,2.12;4.24,2.12,0.913259983
Human,12,1,1,11,Visual,TR,2.12;4.24,2.12,2.091961145
Human,12,1,1,12,Visual,TR,2.12;4.24,2.12,0.873935938
Human,12,1,1,13,Visual,TR,2.12;4.24,4.24,3.417282104
Human,12,1,1,14,Visual,TR,2.12;4.24,4.24,2.696131945
Human,12,1,1,15,Visual,TR,2.12;4.24,2.12,1.681246996
Human,12,1,1,16,Visual,TR,2.12;4.24,4.24,3.508471012
Human,12,1,1,17,Visual,TR,2.12;4.24,4.24,3.773472786
Human,12,1,1,18,Visual,TR,2.12;4.24,2.12,1.584269047
Human,12,1,1,19,Visual,TR,2.12;4.24,4.24,3.527317047
Human,12,1,1,20,Visual,TR,2.12;4.24,2.12,1.720347881
Human,12,1,1,21,Visual,TR,2.12;4.24,4.24,3.808076143
Human,12,1,1,22,Visual,TR,2.12;4.24,2.12,1.837895155
Human,12,1,1,23,Visual,TR,2.12;4.24,4.24,3.594761848
Human,12,1,1,24,Visual,TR,2.12;4.24,4.24,3.343610048
Human,12,1,1,25,Visual,TR,2.12;4.24,4.24,4.344635963
Human,12,1,2,1,Visual,TR,2.12;4.24,4.24,3.09514904
Human,12,1,2,2,Visual,TR,2.12;4.24,2.12,0.968357086
Human,12,1,2,3,Visual,TR,2.12;4.24,2.12,1.438225031
Human,12,1,2,4,Visual,TR,2.12;4.24,4.24,4.374334097
Human,12,1,2,5,Visual,TR,2.12;4.24,4.24,2.983983994
Human,12,1,2,6,Visual,TR,2.12;4.24,4.24,4.467221975
Human,12,1,2,7,Visual,TR,2.12;4.24,4.24,2.801880836
Human,12,1,2,8,Visual,TR,2.12;4.24,4.24,3.523375034
Human,12,1,2,9,Visual,TR,2.12;4.24,4.24,2.079154968
Human,12,1,2,10,Visual,TR,2.12;4.24,2.12,1.442802906
Human,12,1,2,11,Visual,TR,2.12;4.24,4.24,3.241678953
Human,12,1,2,12,Visual,TR,2.12;4.24,4.24,3.460841894
Human,12,1,2,13,Visual,TR,2.12;4.24,2.12,2.369499922
Human,12,1,2,14,Visual,TR,2.12;4.24,4.24,1.65886116
Human,12,1,2,15,Visual,TR,2.12;4.24,4.24,2.811434984
Human,12,1,2,16,Visual,TR,2.12;4.24,2.12,1.47550416
Human,12,1,2,17,Visual,TR,2.12;4.24,4.24,2.73053813
Human,12,1,2,18,Visual,TR,2.12;4.24,2.12,1.362778902
Human,12,1,2,19,Visual,TR,2.12;4.24,4.24,0.469241142
Human,12,1,2,20,Visual,TR,2.12;4.24,4.24,4.898442984
Human,12,1,2,21,Visual,TR,2.12;4.24,4.24,2.700031996
Human,12,1,2,22,Visual,TR,2.12;4.24,2.12,2.486284018
Human,12,1,2,23,Visual,TR,2.12;4.24,2.12,1.71766305
Human,12,1,2,24,Visual,TR,2.12;4.24,4.24,3.479830027
Human,12,1,2,25,Visual,TR,2.12;4.24,2.12,0.761094809
Human,12,1,3,1,Visual,TR,2.12;4.24,2.12,2.329169035
Human,12,1,3,2,Visual,TR,2.12;4.24,4.24,3.419142962
Human,12,1,3,3,Visual,TR,2.12;4.24,2.12,0.871950865
Human,12,1,3,4,Visual,TR,2.12;4.24,2.12,1.48269701
Human,12,1,3,5,Visual,TR,2.12;4.24,4.24,2.224784136
Human,12,1,3,6,Visual,TR,2.12;4.24,4.24,2.839890003
Human,12,1,3,7,Visual,TR,2.12;4.24,2.12,1.436007977
Human,12,1,3,8,Visual,TR,2.12;4.24,2.12,2.811324835
Human,12,1,3,9,Visual,TR,2.12;4.24,2.12,2.327818155
Human,12,1,3,10,Visual,TR,2.12;4.24,2.12,1.662782907
Human,12,1,3,11,Visual,TR,2.12;4.24,4.24,3.028722048
Human,12,1,3,12,Visual,TR,2.12;4.24,4.24,3.227318048
Human,12,1,3,13,Visual,TR,2.12;4.24,4.24,1.72988987
Human,12,1,3,14,Visual,TR,2.12;4.24,2.12,1.476981878
Human,12,1,3,15,Visual,TR,2.12;4.24,2.12,1.687099934
Human,12,1,3,16,Visual,TR,2.12;4.24,4.24,3.414172888
Human,12,1,3,17,Visual,TR,2.12;4.24,4.24,2.269951105
Human,12,1,3,18,Visual,TR,2.12;4.24,4.24,3.229658127
Human,12,1,3,19,Visual,TR,2.12;4.24,2.12,1.437700987
Human,12,1,3,20,Visual,TR,2.12;4.24,2.12,1.071032047
Human,12,1,3,21,Visual,TR,2.12;4.24,2.12,2.191021919
Human,12,1,3,22,Visual,TR,2.12;4.24,2.12,2.15596509
Human,12,1,3,23,Visual,TR,2.12;4.24,2.12,1.839082003
Human,12,1,3,24,Visual,TR,2.12;4.24,2.12,2.557286024
Human,12,1,3,25,Visual,TR,2.12;4.24,4.24,4.314008951
Human,12,1,4,1,Visual,TR,2.12;4.24,2.12,1.766516924
Human,12,1,4,2,Visual,TR,2.12;4.24,2.12,1.22342205
Human,12,1,4,3,Visual,TR,2.12;4.24,2.12,1.828679085
Human,12,1,4,4,Visual,TR,2.12;4.24,4.24,3.557999849
Human,12,1,4,5,Visual,TR,2.12;4.24,2.12,1.697969913
Human,12,1,4,6,Visual,TR,2.12;4.24,2.12,1.019744873
Human,12,1,4,7,Visual,TR,2.12;4.24,4.24,3.892230988
Human,12,1,4,8,Visual,TR,2.12;4.24,4.24,2.189121962
Human,12,1,4,9,Visual,TR,2.12;4.24,2.12,1.370087147
Human,12,1,4,10,Visual,TR,2.12;4.24,4.24,3.355623007
Human,12,1,4,11,Visual,TR,2.12;4.24,4.24,4.178722143
Human,12,1,4,12,Visual,TR,2.12;4.24,4.24,3.455875874
Human,12,1,4,13,Visual,TR,2.12;4.24,2.12,1.553286076
Human,12,1,4,14,Visual,TR,2.12;4.24,2.12,2.623503923
Human,12,1,4,15,Visual,TR,2.12;4.24,2.12,0.790631056
Human,12,1,4,16,Visual,TR,2.12;4.24,2.12,2.227260113
Human,12,1,4,17,Visual,TR,2.12;4.24,4.24,6.079085112
Human,12,1,4,18,Visual,TR,2.12;4.24,4.24,2.952646017
Human,12,1,4,19,Visual,TR,2.12;4.24,2.12,1.649456024
Human,12,1,4,20,Visual,TR,2.12;4.24,2.12,1.072628975
Human,12,1,4,21,Visual,TR,2.12;4.24,4.24,4.140205145
Human,12,1,4,22,Visual,TR,2.12;4.24,2.12,1.658902168
Human,12,1,4,23,Visual,TR,2.12;4.24,2.12,1.906002045
Human,12,1,4,24,Visual,TR,2.12;4.24,4.24,3.169120073
Human,12,1,4,25,Visual,TR,2.12;4.24,4.24,3.024069071
Human,13,1,1,1,Visual,TR,2.12;4.24,4.24,2.903587818
Human,13,1,1,2,Visual,TR,2.12;4.24,2.12,1.152022839
Human,13,1,1,3,Visual,TR,2.12;4.24,2.12,1.679675817
Human,13,1,1,4,Visual,TR,2.12;4.24,4.24,2.913069963
Human,13,1,1,5,Visual,TR,2.12;4.24,4.24,3.393208981
