Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,18081,1,1,1,Auditory,PI,8;16,8,27.4609999999993;27.8869999999988;28.6790000000001;29.0790000000015;29.4409999999989;30.094000000001;31.2430000000022;31.9170000000013;32.3090000000011;33.0689999999995;33.4140000000007;34.2289999999994;34.5889999999999;35.2900000000009;35.7829999999995;36.3660000000018;37.2530000000006;37.6650000000009;38.6130000000012;39.3470000000016;42.137999999999;44.5650000000023;45.4419999999991;59.0010000000002,N/A
Rat,18081,1,1,2,Auditory,PI,8;16,8,0.295000000001892;2.05199999999968;3.45500000000175;4.02400000000125;4.79300000000148;5.12199999999939;5.57400000000052;6.21500000000015;6.625;7.27000000000044;7.63200000000143;8.60099999999875;8.91500000000087;9.9910000000018;10.8840000000018;11.7790000000023;12.9290000000001;13.3529999999992;14.2560000000012;14.630000000001;15.3080000000009;16.4880000000012;17.2940000000017;18.2839999999997;20.6039999999994;23.1049999999996;59.0010000000002,N/A
Rat,18081,1,1,3,Auditory,PI,8;16,8,0.81499999999869;1.96500000000015;2.91300000000047;3.19399999999951;3.47499999999855;3.82900000000154;4.1919999999991;4.54499999999825;5.40100000000166;6.20899999999892;6.83299999999872;7.34800000000178;9.29899999999907;10.1080000000002;11.5920000000006;11.9409999999989;12.494999999999;12.9429999999993;13.5260000000017;14.4959999999992;14.8840000000018;15.2139999999999;20.012999999999;20.8250000000007;21.4850000000006;21.9069999999992;22.2259999999988;22.982;25.2540000000008;25.7530000000006;62.0010000000002,N/A
Rat,18081,1,1,4,Auditory,PI,8;16,8,8.09699999999793;8.89800000000105;9.21299999999974;9.61100000000079;10.1919999999991;10.9749999999985;11.3389999999999;11.7330000000002;12.3080000000009;13.1749999999993;13.8159999999989;14.1450000000004;15.1059999999998;16.0780000000013;16.882999999998;17.7089999999989;18.5679999999993;18.9969999999994;19.4199999999983;19.9880000000012;21.2589999999982;22.8760000000002;23.6310000000012;50.6470000000008;52.0010000000002,N/A
Rat,18081,1,1,5,Auditory,PI,8;16,8,54.001,N/A
Rat,18081,1,1,6,Auditory,PI,8;16,8,0.838999999999942;1.40999999999985;1.63000000000102;2.26900000000023;2.54100000000108;3.28099999999904;4.15599999999904;4.6239999999998;5.02000000000044;5.53900000000067;5.9989999999998;6.47599999999875;6.82300000000032;7.56899999999951;8.28800000000047;9.1810000000005;9.46900000000096;9.84000000000015;10.469000000001;11.5900000000001;12.3029999999999;13.0469999999987;14.2999999999993;22.4419999999991;23.3149999999987;24.0210000000006;24.351999999999;24.8460000000014;25.5600000000013;26.0400000000009;26.4939999999988;27.6640000000007;28.7070000000022;28.9290000000001;52.0010000000002,N/A
Rat,18081,1,1,7,Auditory,PI,8;16,8,6.09300000000076;6.51399999999921;7.63000000000102;16.2059999999983;18.2119999999995;19.5809999999983;21.0279999999984;21.75;22.3660000000018;22.7740000000013;23.3810000000012;23.8110000000015;24.3760000000002;24.8220000000001;25.5709999999999;26.4900000000016;29.1349999999984;30.5220000000008;31.4089999999997;34.3369999999995;53.0010000000002,N/A
Rat,18081,1,1,8,Auditory,PI,8;16,8,0;8.49399999999878;8.9529999999977;9.37099999999919;10.0499999999993;12.4539999999979;13.1669999999976;13.8869999999988;15.0749999999971;15.752999999997;16.2049999999981;17.5;18.1029999999992;22.1419999999998;23.351999999999;24.1489999999976;24.6299999999974;26.5619999999981;48.3559999999998;50.0010000000002,N/A
Rat,18081,1,1,9,Auditory,PI,8;16,8,5.88699999999881;6.68899999999849;7.34300000000076;7.77200000000084;8.16500000000087;8.84500000000116;9.5580000000009;9.73700000000099;10.6359999999986;11.3230000000003;12.0420000000013;12.2880000000005;12.6569999999992;13.0080000000016;13.2289999999994;14.0849999999991;14.7829999999994;15.2089999999989;15.619999999999;16.3970000000008;17.5430000000015;18.3729999999996;20.1680000000015;21.4340000000011;22.9680000000008;24.7400000000016;26.2220000000016;26.8159999999989;30.112000000001;57.0010000000002,N/A
Rat,18081,1,1,10,Auditory,PI,8;16,8,0;10.1569999999992;11.0499999999993;11.3840000000018;11.4830000000002;12.1160000000018;12.6990000000005;13.2260000000024;13.5090000000018;14.1900000000023;15.0800000000017;15.831000000002;16.2700000000004;16.6890000000021;17.4940000000024;18.1630000000005;19.1140000000014;19.898000000001;20.3640000000014;20.8379999999997;21.7839999999997;22.9089999999997;23.9249999999993;24.8480000000018;26.206000000002;26.5859999999993;28.2760000000017;28.6650000000009;49.0010000000002,N/A
