Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response
Human,12,1,1,1,Visual,TR,1.25;3.75,3.75,3.03509
Human,12,1,1,2,Visual,TR,1.25;3.75,3.75,1.47135
Human,12,1,1,3,Visual,TR,1.25;3.75,3.75,2.0299
Human,12,1,1,4,Visual,TR,1.25;3.75,1.25,0.86921
Human,12,1,1,5,Visual,TR,1.25;3.75,1.25,1.02184
Human,12,1,1,6,Visual,TR,1.25;3.75,3.75,2.11899
Human,12,1,1,7,Visual,TR,1.25;3.75,3.75,2.522
Human,12,1,1,8,Visual,TR,1.25;3.75,3.75,3.5911
Human,12,1,1,9,Visual,TR,1.25;3.75,3.75,2.42915
Human,12,1,1,10,Visual,TR,1.25;3.75,1.25,0.58886
Human,12,1,1,11,Visual,TR,1.25;3.75,1.25,0.68881
Human,12,1,1,12,Visual,TR,1.25;3.75,3.75,1.65862
Human,12,1,1,13,Visual,TR,1.25;3.75,1.25,1.30799
Human,12,1,1,14,Visual,TR,1.25;3.75,3.75,3.259
Human,12,1,1,15,Visual,TR,1.25;3.75,3.75,1.58576
Human,12,1,1,16,Visual,TR,1.25;3.75,3.75,1.57047
Human,12,1,1,17,Visual,TR,1.25;3.75,1.25,0.70873
Human,12,1,1,18,Visual,TR,1.25;3.75,1.25,0.62524
Human,12,1,1,19,Visual,TR,1.25;3.75,1.25,1.00406
Human,12,1,1,20,Visual,TR,1.25;3.75,3.75,1.61561
Human,12,1,1,21,Visual,TR,1.25;3.75,1.25,0.72497
Human,12,1,1,22,Visual,TR,1.25;3.75,1.25,0.84119
Human,12,1,1,23,Visual,TR,1.25;3.75,1.25,0.2159
Human,12,1,1,24,Visual,TR,1.25;3.75,3.75,2.2043
Human,12,1,1,25,Visual,TR,1.25;3.75,1.25,1.87053
Human,12,1,1,26,Visual,TR,1.25;3.75,1.25,1.27633
Human,12,1,1,27,Visual,TR,1.25;3.75,3.75,2.32644
