Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,9061,1,1,1,Short,PI,15;60,4,1.39999999999998;3.10000000000002;5.06,1.89999999999998;3.38;6.31999999999999;-452;-452;-452;-452
Rat,9061,1,1,2,Short,PI,15;60,4,-13.6999999999999;-13.22;30.5;45.98,-13.28;-12.6;30.96;46.0600000000001;-557.02;-557.02
Rat,9061,1,1,3,Short,PI,15;60,4,-6.33999999999992;12.76,-6.03999999999996;13.14;-671.04;-671.04;-671.04;-671.04;-671.04;-671.04
Rat,9061,1,1,4,Short,PI,15;60,4,0,-787.06;-787.06;-787.06;-787.06;-787.06;-787.06;-787.06;-787.06;-787.06;-787.06
Rat,9061,1,1,5,Short,PI,15;60,4,10.3199999999999;11.24,10.9399999999999;11.68;-896.08;-896.08;-896.08;-896.08;-896.08;-896.08
Rat,9061,1,1,6,Short,PI,15;60,4,1.48000000000002;9.37999999999988;28.72;31.6999999999998,1.59999999999991;9.55999999999995;28.9199999999998;31.98;-1314.92;-1314.92
Rat,9061,1,1,7,Short,PI,15;60,4,24.2,24.4200000000001;-1506.34;-1506.34;-1506.34;-1506.34;-1506.34;-1506.34;-1506.34;-1506.34
Rat,9061,1,1,8,Short,PI,15;60,4,16.02,16.8;-1744.8;-1744.8;-1744.8;-1744.8;-1744.8;-1744.8;-1744.8;-1744.8
Rat,9061,1,1,9,Short,PI,15;60,4,9.24000000000001;43.74,9.72000000000003;44.1800000000001;-1852.82;-1852.82;-1852.82;-1852.82;-1852.82;-1852.82
Rat,9061,1,1,10,Short,PI,15;60,4,33.34,34.0600000000002;-1968.84;-1968.84;-1968.84;-1968.84;-1968.84;-1968.84;-1968.84;-1968.84
Rat,9061,1,1,11,Short,PI,15;60,4,4.16,4.46000000000004;-2201.88;-2201.88;-2201.88;-2201.88;-2201.88;-2201.88;-2201.88;-2201.88
Rat,9061,1,1,12,Short,PI,15;60,4,0,-2337.9;-2337.9;-2337.9;-2337.9;-2337.9;-2337.9;-2337.9;-2337.9;-2337.9;-2337.9
Rat,9061,1,1,13,Short,PI,15;60,4,0,-2558.94;-2558.94;-2558.94;-2558.94;-2558.94;-2558.94;-2558.94;-2558.94;-2558.94;-2558.94
Rat,9061,1,1,14,Short,PI,15;60,4,-6.76000000000022;36.6599999999999,-6.63999999999987;37.3200000000002;-2667.96;-2667.96;-2667.96;-2667.96;-2667.96;-2667.96
Rat,9061,1,1,15,Short,PI,15;60,4,24.02;32.2600000000002,24.5;32.46;-3002.02;-3002.02;-3002.02;-3002.02;-3002.02;-3002.02
Rat,9061,1,1,16,Short,PI,15;60,4,4.78,5.42000000000007;-3452.66;-3452.66;-3452.66;-3452.66;-3452.66;-3452.66;-3452.66;-3452.66
Rat,9061,1,1,17,Short,PI,15;60,4,15.66,16.6199999999999;-3665.5;-3665.5;-3665.5;-3665.5;-3665.5;-3665.5;-3665.5;-3665.5
Rat,9061,1,1,18,Short,PI,15;60,4,0,-3906.54;-3906.54;-3906.54;-3906.54;-3906.54;-3906.54;-3906.54;-3906.54;-3906.54;-3906.54
Rat,9061,1,1,19,Short,PI,15;60,4,0,-4656.24;-4656.24;-4656.24;-4656.24;-4656.24;-4656.24;-4656.24;-4656.24;-4656.24;-4656.24
Rat,9061,1,1,20,Short,PI,15;60,4,0,-4785.26;-4785.26;-4785.26;-4785.26;-4785.26;-4785.26;-4785.26;-4785.26;-4785.26;-4785.26
Rat,9061,1,1,21,Short,PI,15;60,4,0,-4895.28;-4895.28;-4895.28;-4895.28;-4895.28;-4895.28;-4895.28;-4895.28;-4895.28;-4895.28
Rat,9061,1,1,22,Short,PI,15;60,4,6.06,6.5;-5254.34;-5254.34;-5254.34;-5254.34;-5254.34;-5254.34;-5254.34;-5254.34
Rat,9061,1,1,23,Short,PI,15;60,4,0,-5501.38;-5501.38;-5501.38;-5501.38;-5501.38;-5501.38;-5501.38;-5501.38;-5501.38;-5501.38
Rat,9061,1,1,24,Short,PI,15;60,4,0,-5952.74;-5952.74;-5952.74;-5952.74;-5952.74;-5952.74;-5952.74;-5952.74;-5952.74;-5952.74
Rat,9061,1,1,25,Short,PI,15;60,4,0,-6478.72;-6478.72;-6478.72;-6478.72;-6478.72;-6478.72;-6478.72;-6478.72;-6478.72;-6478.72
Rat,9061,1,1,26,Short,PI,15;60,4,0,-6579.74;-6579.74;-6579.74;-6579.74;-6579.74;-6579.74;-6579.74;-6579.74;-6579.74;-6579.74
Rat,9061,1,1,1,Long,PI,15;60,12,9.80000000000018;10.3000000000002;10.6400000000003;10.8600000000001;11.1400000000003;11.4400000000001;11.8200000000002;12.1800000000003;12.5599999999999;12.8400000000001;13.1400000000003;13.4000000000001;13.8000000000002;14.0999999999999;14.4000000000001;14.6600000000003;14.98;15.2600000000002;15.6800000000003;16.4200000000001;16.8200000000002;17.0799999999999;17.3800000000001;17.7400000000002;18.0599999999999;18.9400000000001;19.3200000000002;19.6600000000003;20.0999999999999;21.04,9.86000000000013;10.52;10.7400000000002;11;11.2800000000002;11.6600000000003;11.98;12.3400000000001;12.7400000000002;13.02;13.2600000000002;13.5999999999999;13.96;14.3600000000001;14.5999999999999;14.8600000000001;15.1600000000003;15.54;16.3400000000001;16.7400000000002;17.02;17.2800000000002;17.5999999999999;18;18.8000000000002;19.1400000000003;19.5599999999999;19.9400000000001;20.3800000000001;21.2800000000002;-3324.64;-3324.64
Rat,9061,1,1,2,Long,PI,15;60,12,14.6600000000008;15.04;15.4000000000005;15.7400000000007;16.2800000000007;16.6600000000008;17.0200000000004;17.3400000000001;17.6199999999999;17.96;18.2400000000007;18.7600000000002;19.1400000000003;19.4200000000001;20.2200000000003,14.9200000000001;15.2000000000007;15.5799999999999;15.8800000000001;16.46;16.8400000000001;17.1800000000003;17.54;17.8000000000002;18.1800000000003;18.5600000000004;18.9000000000005;19.3400000000001;19.8400000000001;20.4800000000005;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36;-5370.36
Rat,9061,1,1,3,Long,PI,15;60,12,0,-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76;-6684.76
Rat,9061,2,1,1,Short,PI,15;60,4,12.54;36.18,13.32;36.58;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02
Rat,9061,2,1,2,Short,PI,15;60,4,0.859999999999999;3.87999999999998;42.12,1.3;4.3;42.5;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04;-127.04
