Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,101,95,1,2,Auditory,PI,30;60;120,120,71.02;72.4099999999999;88.8599999999999;97.55;98.0699999999999;98.27;99.3999999999999;112.37;113.52;115.66;116.19;124.25;124.76;134.2;139.81;141.13;141.85;148.27;148.38;149.38;166.61;167.89;169.09;171.12;178.14;178.52;179.19;180.07;245.22;246.51;270.61;379.62;380.93;386.13;431.08;441.38,N/A
Rat,101,95,1,3,Auditory,PI,30;60;120,120,87.4400000000001;88.0099999999998;101.56;134.28;134.38;139.02;165.76;179.23;187.51;189.14;397.28,N/A
Rat,101,95,1,4,Auditory,PI,30;60;120,120,75.3299999999999;75.73;77.6999999999998;94.6199999999999;95.7199999999998;96.71;108.46;109.06;109.22;117.45;117.81;119.31;351.21;424.37;424.79;425.02;425.21;452.06,N/A
Rat,101,95,1,5,Auditory,PI,30;60;120,120,139.06;140.02;141.530000000001;146.070000000001;147.85;149.29;149.740000000001;153.48;155.6;160.04;160.690000000001;161.3;177.3;179.13;183.3;184.56;185.860000000001;204.81;205.92,N/A
Rat,101,96,1,1,Auditory,PI,30;60;120,120,241.06;244.29;246.12;382.44;383.19;424.37;424.94,N/A
Rat,101,96,1,2,Auditory,PI,30;60;120,120,69.9;76.4;78.87;82.78;107.28;108.23;110.11;114.41;115.18;116.79;127.27;128.69;139.02;139.07;140.6;140.96;160.87;161.49;162.35;249.01,N/A
Rat,101,96,1,3,Auditory,PI,30;60;120,120,72.1499999999999;75.22;86.1199999999999;94.8999999999999;99.6299999999999;101.81;117.38;135.5;136.65;155.24;160.09;343.98,N/A
Rat,101,96,1,4,Auditory,PI,30;60;120,120,133.6;343.52,N/A
Rat,101,96,1,5,Auditory,PI,30;60;120,120,85.6900000000005;86.4000000000006;94.6500000000006;95.5;103.43;113.190000000001;122.92;123.92;127.16;136.84;141.690000000001;424.54;436.03,N/A
Rat,101,96,1,6,Auditory,PI,30;60;120,120,0,N/A
Rat,101,97,1,1,Auditory,PI,30;60;120,120,0,N/A
Rat,101,97,1,2,Auditory,PI,30;60;120,120,142.2;143.13,N/A
Rat,101,97,1,3,Auditory,PI,30;60;120,120,86.79;88.4899999999998;124.69;126.45;130.18;204.78;205.06;211.33;211.62;213.88;214.48,N/A
Rat,101,97,1,4,Auditory,PI,30;60;120,120,144.47;149.06;149.990000000001;209.06;209.160000000001,N/A
Rat,101,97,1,5,Auditory,PI,30;60;120,120,191.900000000001;321.62;321.74;323.43;324.56,N/A
Rat,101,98,1,1,Auditory,PI,30;60;120,120,70.45;71.06;71.58;72.09;197.01;198.4;198.54;259.02;472.4;477;479.3,N/A
Rat,101,98,1,2,Auditory,PI,30;60;120,120,89.79;96.3300000000002;401.38;407.83,N/A
Rat,101,98,1,3,Auditory,PI,30;60;120,120,101.27;102.34;135.35;414.99;420.6,N/A
Rat,101,98,1,4,Auditory,PI,30;60;120,120,70.0499999999997;92.4699999999998;92.9599999999996;96.3799999999997;98.2399999999998;232.02;232.17;232.54;339.31,N/A
Rat,101,98,1,5,Auditory,PI,30;60;120,120,91.5699999999997;415.74;416.389999999999;420.36;422.12,N/A
Rat,101,98,1,6,Auditory,PI,30;60;120,120,0,N/A
Rat,201,89,2,1,Visual,PI,30;60;120,120,25.17;230.65;233.98,N/A
Rat,201,89,2,2,Visual,PI,30;60;120,120,0,N/A
Rat,201,89,2,3,Visual,PI,30;60;120,120,56.1499999999999;56.25;57.01;57.1899999999998;60.05;60.1599999999999;60.4799999999998;65.1099999999999;65.2099999999998;204.63;205.19;206.59;208.1,N/A
Rat,201,89,2,4,Visual,PI,30;60;120,120,208.32,N/A
Rat,201,89,2,5,Visual,PI,30;60;120,120,213.1,N/A
Rat,201,89,2,6,Visual,PI,30;60;120,120,117.98;123.36,N/A
Rat,201,89,2,7,Visual,PI,30;60;120,120,389.21,N/A
Rat,201,89,2,8,Visual,PI,30;60;120,120,59.3399999999992;60.0799999999999;60.75;137.959999999999;139.08,N/A
Rat,201,90,2,1,Visual,PI,30;60;120,120,137.62;139.23;140.27;141.52;144.15;151.37;151.46;151.94;153.26;164.67;230.44;231.32;235.6;241.66,N/A
Rat,201,90,2,2,Visual,PI,30;60;120,120,68.4000000000001;207.29,N/A
Rat,201,90,2,3,Visual,PI,30;60;120,120,0,N/A
Rat,201,90,2,4,Visual,PI,30;60;120,120,427.14;439,N/A
Rat,201,91,2,1,Visual,PI,30;60;120,120,103.87;107.21;146.68;312.3;371.64,N/A
Rat,201,91,2,2,Visual,PI,30;60;120,120,88.9100000000001;89.8000000000002;90.3500000000001,N/A
Rat,201,91,2,3,Visual,PI,30;60;120,120,201.73;212.43;217.53;236.21;236.73;239.4,N/A
Rat,201,91,2,4,Visual,PI,30;60;120,120,150.7;156.94;168.25;397.4;398.45,N/A
Rat,201,91,2,5,Visual,PI,30;60;120,120,114.63,N/A
Rat,201,91,2,6,Visual,PI,30;60;120,120,341.28,N/A
Rat,201,91,2,7,Visual,PI,30;60;120,120,0,N/A
Rat,201,91,2,8,Visual,PI,30;60;120,120,100.51;102.04;102.3;110.38;112.26,N/A
Rat,201,92,2,1,Visual,PI,30;60;120,120,125.04,N/A
Rat,201,92,2,2,Visual,PI,30;60;120,120,0,N/A
Rat,201,92,2,3,Visual,PI,30;60;120,120,38.29;56.3299999999999,N/A
Rat,201,92,2,4,Visual,PI,30;60;120,120,43.5700000000002;43.6500000000001;294.1;294.55;295.98;298.13;306.64,N/A
Rat,201,92,2,5,Visual,PI,30;60;120,120,0,N/A
Rat,201,92,2,6,Visual,PI,30;60;120,120,0,N/A
Rat,201,93,2,1,Visual,PI,30;60;120,120,42.12;134.46;143.13;143.8;145.74;149.6;149.75;294.61;295.1;299.39;381.95;382.54;382.77;384.71;385.16;385.88;446.97;447.31,N/A
Rat,201,93,2,2,Visual,PI,30;60;120,120,0,N/A
Rat,201,93,2,3,Visual,PI,30;60;120,120,410.47;411.17;419.11;419.31;419.57;429;438.9;439.35;439.92,N/A
Rat,201,93,2,4,Visual,PI,30;60;120,120,220.24;220.34;225.37;225.64;225.9;226.11;248.82;258.73,N/A
Rat,201,93,2,5,Visual,PI,30;60;120,120,0,N/A
Rat,201,93,2,6,Visual,PI,30;60;120,120,0,N/A
Rat,201,93,2,7,Visual,PI,30;60;120,120,444.48;444.75,N/A
Rat,201,94,2,1,Visual,PI,30;60;120,120,190.05;190.45;191.86;201.98;202.48;203.69;262.97;263.19;266.43,N/A
Rat,201,94,2,2,Visual,PI,30;60;120,120,139.39;162.82;205.04;205.23,N/A
Rat,201,94,2,3,Visual,PI,30;60;120,120,291.11;476.44,N/A
Rat,201,94,2,4,Visual,PI,30;60;120,120,438.380000000001;440.22;440.98;441.6,N/A
Rat,201,94,2,5,Visual,PI,30;60;120,120,0,N/A
Rat,201,95,2,1,Visual,PI,30;60;120,120,71.37;215.46;216.45;217.29;217.54;217.9;218.63;219.2;219.59;220.54;222.66;223.04;223.17,N/A
Rat,201,95,2,2,Visual,PI,30;60;120,120,205.87;207.58;414.03,N/A
Rat,201,95,2,3,Visual,PI,30;60;120,120,0,N/A
Rat,201,95,2,4,Visual,PI,30;60;120,120,462.96,N/A
Rat,201,95,2,5,Visual,PI,30;60;120,120,0,N/A
Rat,201,95,2,6,Visual,PI,30;60;120,120,448.820000000001;449.05;455.400000000001,N/A
Rat,201,95,2,7,Visual,PI,30;60;120,120,0,N/A
Rat,201,96,2,1,Visual,PI,30;60;120,120,35.8299999999999;36.39;86.62;117.81,N/A
Rat,201,96,2,2,Visual,PI,30;60;120,120,0,N/A
Rat,201,96,2,3,Visual,PI,30;60;120,120,0,N/A
Rat,201,96,2,4,Visual,PI,30;60;120,120,290.870000000001;301.34;303.330000000001;303.5;320.09,N/A
Rat,201,96,2,5,Visual,PI,30;60;120,120,0,N/A
Rat,201,97,2,1,Visual,PI,30;60;120,120,423.41;423.73;426.31;430.11;430.16;434.64;435.61;437.69;437.8;454.52;455.24;455.8;460.43;460.9,N/A
Rat,201,97,2,2,Visual,PI,30;60;120,120,0,N/A
Rat,201,97,2,3,Visual,PI,30;60;120,120,208.47;209.81,N/A
Rat,201,97,2,4,Visual,PI,30;60;120,120,0,N/A
Rat,201,98,2,1,Visual,PI,30;60;120,120,106.81;107.2;107.87;109.58;110.19;110.58;110.78;111.37;116.17;116.88;118.68;134.05;134.57;135.29;135.61;136.64;136.81;137.45;138.99;156.9;156.98;158.48;158.98;161.22;163.66;164.45;164.79;180.33;183.29;183.77;184.33;186.34;197.55;198.85;200.26;208.28;208.89;209.44;210.38;211.38;213.12;228.77;230.46;231.81;244.71;244.77;307.55;307.78;315.98,N/A
Rat,201,98,2,2,Visual,PI,30;60;120,120,179.54;382.75,N/A
Rat,201,98,2,3,Visual,PI,30;60;120,120,47.29;285.95;286.15;286.27;288.87;288.99,N/A
Rat,201,98,2,4,Visual,PI,30;60;120,120,220.48;221.31;223.89;254.39;255.070000000001,N/A
Rat,201,98,2,5,Visual,PI,30;60;120,120,0,N/A
Rat,301,89,3,1,Auditory,PI,30;60;120,60,7.26999999999998;44;47.9099999999999;49.6099999999999;53.4199999999998;56.1699999999998;60.6199999999999;62.26;62.9199999999998;63.0899999999999;67.4799999999998;68.25;68.9799999999998;69.27;71.79;74.9599999999998;76.0999999999999;79.3699999999999;80.3799999999999;127.56;128.07;128.17;137.69;143.12;143.34;143.44;204.34;208.8;209.16,N/A
Rat,301,89,3,2,Auditory,PI,30;60;120,60,34.1500000000001;35.5999999999999;42.9099999999999;46.0799999999999;48.3499999999999;49.4700000000003;50.96;51.46;52.3600000000001;53.4700000000003;56.5;58.5599999999999;61.3200000000002;62.2000000000003;63.5;64;71.6599999999999;78.4299999999998,N/A
Rat,301,89,3,3,Auditory,PI,30;60;120,60,14.5899999999997;47.5599999999999;51.0099999999998;60.4199999999996;62.79;66.4299999999998;67.8499999999999;73.6399999999999;74.8899999999999;79.4199999999996;85.4400000000001;119.4,N/A
Rat,301,89,3,4,Auditory,PI,30;60;120,60,56.5799999999999;59.46;63.6400000000003;67.8400000000002;70.6599999999999;74.71;75.4099999999999;76.4899999999998;82.5100000000002;83.6100000000006;85.6100000000006;89.3299999999999;90;229.320000000001;229.530000000001;231.68;232.04,N/A
Rat,301,89,3,5,Auditory,PI,30;60;120,60,58.4500000000007;59.9500000000007;70.29;77.5500000000002;77.9100000000008;162.89;172.26;172.64,N/A
Rat,301,89,3,6,Auditory,PI,30;60;120,60,6.26000000000022;60.6900000000005;64.71;70.2399999999998;75.8800000000001;81.0699999999997;86.2200000000003;220.76;221.09,N/A
Rat,301,90,3,1,Auditory,PI,30;60;120,60,32.8099999999999;35.17;40.14;43.68;44.0599999999999;45.53;48.92;50.0899999999999;51.5899999999999;55.0899999999999;57.8399999999999;59.18;63.5;67.4399999999999;69.14;72.6899999999999;74.18;75.63;84.55;101.61;107.65;159.79;159.89;175.14;181.06;183.66;194.69;199.14;202.66;208.38;214.37;215.61;218.85;219.5;222.46;224.21,N/A
Rat,301,90,3,2,Auditory,PI,30;60;120,60,16.0700000000002;21.9499999999998;32.52;33.52;42.1199999999999;44.7199999999998;46.0500000000002;49.2800000000002;52.02;52.9499999999998;53.4099999999999;55.9200000000001;63.4499999999998;70.1500000000001;71.06;87.7399999999998;156.45;157.39;230.46;231.42;232.12;232.27;233.31,N/A
Rat,301,90,3,3,Auditory,PI,30;60;120,60,0.2199999999998.420000000000073;25.1500000000001;55.9200000000001;61.25;64.6700000000001;66.8499999999999;70.52;71.1199999999999;78.1700000000001;80.73;85.48;86.5799999999999;87.7199999999998;90.9000000000001;122.51;190.9,N/A
Rat,301,90,3,4,Auditory,PI,30;60;120,60,5.51999999999953;30.4699999999993;70.6299999999992;73.8599999999997;75.3199999999997;79.3799999999992;83.7099999999991;89.3599999999997;91.1599999999999;92.6399999999994;94.3799999999992;94.4599999999991;98.9099999999999;125.169999999999;125.429999999999;215.049999999999;215.78;216.25,N/A
Rat,301,90,3,5,Auditory,PI,30;60;120,60,56.9799999999996;74.5199999999995;86.0699999999997;92.4200000000001;109.5;112.71;113.7;222.66,N/A
Rat,301,90,3,6,Auditory,PI,30;60;120,60,35.6000000000004;41.9500000000007;42.46;49.3800000000001;49.8100000000004;54.4500000000007;57.7300000000005;59.5;60.4300000000003;68.4300000000003;219.22;219.29;224.04;228.01;229.39;238.870000000001,N/A
Rat,301,90,3,7,Auditory,PI,30;60;120,60,45.6700000000001;51.2700000000004;56.6400000000003;59.21;62.7600000000002;76.96;77.4099999999999;108.07;114.42;194.42,N/A
Rat,301,90,3,8,Auditory,PI,30;60;120,60,33.9700000000003;42.4099999999999;50.7200000000003;54.5699999999997;56.1899999999996;59.25;65.25;70.0699999999997;106.16;118.25;123.38;136.28;137.13;137.8;137.87;140.13;141.37;184.86,N/A
Rat,301,91,3,1,Auditory,PI,30;60;120,60,18.2;27.41;44.52;44.7;44.83;55.73;56.3;59.16;66.89;71.53;92.91;179.73;179.91;180.92;187.14;187.21;188.01;192.6;195.56;200.58;207.85,N/A
Rat,301,91,3,2,Auditory,PI,30;60;120,60,40.65;45.5;50.22;50.5700000000001;54.62;55.33;56.05;60.18;62;62.38;63.58;66.34;73.98,N/A
Rat,301,91,3,3,Auditory,PI,30;60;120,60,43.01;47.05;48.9300000000001;51.5899999999999;54.24;57.8399999999999;64.8199999999999;66.98;68.9200000000001;70.21;73.02;73.3499999999999;73.49;73.9100000000001;91.31;91.97,N/A
Rat,301,91,3,4,Auditory,PI,30;60;120,60,56.1500000000001;59.7200000000003;64.9900000000002;68.31;71.48;74.7800000000002;75.8899999999999;79.7000000000003;84.5900000000002;86.9500000000003;92.1900000000001;96.71;96.8200000000002;97.1300000000001;97.4700000000003;98.2800000000002;98.8299999999999;197.24,N/A
Rat,301,91,3,5,Auditory,PI,30;60;120,60,4.26000000000022;6.09999999999991;24.1400000000003;24.5700000000002;36.1700000000001;41.8699999999999;45.5700000000002;47.48;55.48;55.5999999999999;87.0999999999999;87.96;95.3800000000001;98.8600000000001;101.1;101.63;106;106.17;111.11;172.53;172.87,N/A
Rat,301,91,3,6,Auditory,PI,30;60;120,60,0.819999999999709;39.3099999999995;43.1300000000001;44.4399999999996;46.9299999999994;49.4299999999994;52.5900000000001;56.5999999999995;60.21;60.6999999999998;61.0999999999995;62;62.3699999999999;63.9899999999998;74.3299999999999;79.0199999999995,N/A
Rat,301,92,3,1,Auditory,PI,30;60;120,60,22.62;22.7;23.76;24.39;25.59;26.59;28.39;29.3;30.2;32.3299999999999;33.22;34.46;36.29;38.24;39.64;44;45.71;49.36;56.36;59.29;68.89;68.99;69.84;77.75;107.78;110.01;118.5;119.05;129.51;129.55;132.73;139.51;140.53;141.17;143.57;206.78;207.41;208.1;209.27;209.78;213.41;214.19;233.88;234.01;234.75;237.3;237.76,N/A
