Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Release,Task
Human,2,2,2,14,Auditory,TR,3,3,2.848958623,3.631945715,Range
Human,2,2,2,15,Auditory,TR,1,1,1.033036198,1.366256043,Range
Human,2,2,2,16,Auditory,TR,3,3,2.099205213,2.915521899,Range
Human,2,2,2,17,Auditory,TR,5,5,4.731404331,5.69734178,Range
Human,2,2,2,18,Auditory,TR,3,3,2.782174503,3.581761272,Range
Human,2,2,2,19,Auditory,TR,9,9,5.881624626,6.964011443,Range
Human,2,2,2,20,Auditory,TR,9,9,7.246961197,8.246142238,Range
Human,2,2,2,21,Auditory,TR,7,7,4.514933268,5.597715054,Range
Human,2,2,2,22,Auditory,TR,5,5,4.664893788,5.681210687,Range
Human,2,2,2,23,Auditory,TR,5,5,3.815490294,4.931439227,Range
Human,2,2,2,24,Auditory,TR,5,5,4.631604895,5.564463321,Range
Human,2,2,2,25,Auditory,TR,9,9,6.148568927,7.181261827,Range
Human,2,2,2,26,Auditory,TR,7,7,6.731020687,7.963604087,Range
Human,2,2,2,27,Auditory,TR,7,7,5.947853806,7.147246346,Range
Human,2,2,2,28,Auditory,TR,7,7,6.114148567,7.164001746,Range
Human,2,2,2,29,Auditory,TR,9,9,6.28090908,7.314249999,Range
Human,2,2,2,30,Auditory,TR,1,1,0.816626716,1.482764161,Range
Human,2,2,1,1,Auditory,TR,5,5,3.765526695,NaN,Point
Human,2,2,1,2,Auditory,TR,7,7,5.880980854,NaN,Point
Human,2,2,1,3,Auditory,TR,1,1,1.115765605,NaN,Point
Human,2,2,1,4,Auditory,TR,9,9,5.831203768,NaN,Point
Human,2,2,1,5,Auditory,TR,5,5,4.714424196,NaN,Point
Human,2,2,1,6,Auditory,TR,9,9,6.430723788,NaN,Point
Human,2,2,1,7,Auditory,TR,9,9,6.064023936,NaN,Point
Human,2,2,1,8,Auditory,TR,9,9,6.014400095,NaN,Point
Human,2,2,1,9,Auditory,TR,3,3,2.465515405,NaN,Point
Human,2,2,1,10,Auditory,TR,9,9,6.997349176,NaN,Point
Human,2,2,1,11,Auditory,TR,3,3,2.81525034,NaN,Point
Human,2,2,1,12,Auditory,TR,1,1,0.8830732,NaN,Point
Human,2,2,1,13,Auditory,TR,7,7,6.147428613,NaN,Point
Human,2,2,1,14,Auditory,TR,7,7,6.247264148,NaN,Point
Human,2,2,1,15,Auditory,TR,5,5,6.464656099,NaN,Point
Human,2,2,1,16,Auditory,TR,7,7,6.664027758,NaN,Point
Human,2,2,1,17,Auditory,TR,1,1,1.082885483,NaN,Point
Human,2,2,1,18,Auditory,TR,5,5,4.04844849,NaN,Point
Human,2,2,1,19,Auditory,TR,9,9,7.696679605,NaN,Point
Human,2,2,1,20,Auditory,TR,3,3,3.51452485,NaN,Point
Human,2,2,1,21,Auditory,TR,3,3,2.94886388,NaN,Point
Human,2,2,1,22,Auditory,TR,7,7,6.580834723,NaN,Point
Human,2,2,1,23,Auditory,TR,5,5,5.497671416,NaN,Point
Human,2,2,1,24,Auditory,TR,3,3,3.282121947,NaN,Point
Human,2,2,1,25,Auditory,TR,1,1,1.099084174,NaN,Point
Human,2,2,1,26,Auditory,TR,1,1,0.833495721,NaN,Point
Human,2,2,1,27,Auditory,TR,3,3,2.532415962,NaN,Point
Human,2,2,1,28,Auditory,TR,5,5,5.264674998,NaN,Point
Human,2,2,1,29,Auditory,TR,1,1,0.949547997,NaN,Point
Human,2,2,1,30,Auditory,TR,7,7,6.647393044,NaN,Point
Human,3,3,1,1,Auditory,TR,7,7,4.881244875,NaN,Point
Human,3,3,1,2,Auditory,TR,9,9,8.180294932,NaN,Point
Human,3,3,1,3,Auditory,TR,1,1,0.532988597,NaN,Point
