Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Accuracy,Range,AgeGroup
Human,1,1,4,61,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.402962465,0,Long,5 years
Human,1,1,4,62,Visual,TR,0.9;1;1.1;1.2;1.3,1,2.249132756,0,Long,5 years
Human,1,1,4,63,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.486770873,1,Long,5 years
Human,1,1,4,64,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.674039678,0,Long,5 years
Human,1,1,4,65,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.997023535,0,Long,5 years
Human,1,1,4,66,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,2.717740548,0,Long,5 years
Human,1,1,4,67,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.38508114,1,Long,5 years
Human,1,1,4,68,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.799878289,0,Long,5 years
Human,1,1,4,69,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.044179069,0,Long,5 years
Human,1,1,4,70,Visual,TR,0.9;1;1.1;1.2;1.3,1,2.373764701,0,Long,5 years
Human,1,1,1,11,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.605133931,0,Short,5 years
Human,1,1,1,12,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.52355619,0,Short,5 years
Human,1,1,1,13,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,1.293177181,0,Short,5 years
Human,1,1,1,14,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.994890647,1,Short,5 years
Human,1,1,1,15,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.136549695,0,Short,5 years
Human,1,1,1,16,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,1.146180802,1,Short,5 years
Human,1,1,1,17,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.364453594,0,Short,5 years
Human,1,1,1,18,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.750999644,0,Short,5 years
Human,1,1,1,19,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.683844563,1,Short,5 years
Human,1,1,1,20,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.197681668,0,Short,5 years
Human,1,1,1,21,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.197247001,0,Short,5 years
Human,1,1,1,22,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.042754181,0,Short,5 years
Human,1,1,1,23,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.502421532,1,Short,5 years
Human,1,1,1,24,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.358617152,1,Short,5 years
Human,1,1,1,25,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.433050007,1,Short,5 years
Human,1,1,2,26,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.217373214,0,Short,5 years
Human,1,1,2,27,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.047545734,0,Short,5 years
Human,1,1,2,28,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,2.606346819,0,Short,5 years
Human,1,1,2,29,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.607977485,0,Short,5 years
Human,1,1,2,30,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.923770679,0,Short,5 years
Human,1,1,2,31,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.043897736,0,Short,5 years
Human,1,1,2,32,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.161099462,0,Short,5 years
Human,1,1,2,33,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.042970181,0,Short,5 years
Human,1,1,2,34,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.627753921,1,Short,5 years
Human,1,1,2,35,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.136751917,0,Short,5 years
Human,1,1,2,36,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.293525181,0,Short,5 years
Human,1,1,2,37,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.050694177,0,Short,5 years
Human,1,1,2,38,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.954536887,0,Short,5 years
Human,1,1,2,39,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.817076504,1,Short,5 years
Human,1,1,2,40,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.277668299,0,Short,5 years
Human,1,1,3,41,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.55755173,1,Short,5 years
Human,1,1,3,42,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.324219389,0,Short,5 years
Human,1,1,3,43,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.918440014,0,Short,5 years
Human,1,1,3,44,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,1.356016264,1,Short,5 years
Human,1,1,3,45,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,3.814549838,0,Short,5 years
Human,1,1,3,46,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.280170964,0,Short,5 years
Human,1,1,3,47,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.911682684,1,Short,5 years
Human,1,1,3,48,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,2.81063784,0,Short,5 years
Human,1,1,3,49,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.767526303,0,Short,5 years
Human,1,1,3,50,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.129689253,0,Short,5 years
Human,1,1,3,51,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.801511177,0,Short,5 years
Human,1,1,3,52,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,2.269295858,0,Short,5 years
Human,1,1,3,53,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.803856065,1,Short,5 years
Human,1,1,3,54,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.232403875,1,Short,5 years
Human,1,1,3,55,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,4.047062623,0,Short,5 years
Human,1,1,4,56,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.704995664,0,Short,5 years
Human,1,1,4,57,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.896337802,0,Short,5 years
Human,1,1,4,58,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.681207231,1,Short,5 years
Human,1,1,4,59,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.662720572,1,Short,5 years
Human,1,1,4,60,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.925995566,1,Short,5 years
Human,1,1,4,61,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,2.011146195,0,Short,5 years
Human,1,1,4,62,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,2.360910484,0,Short,5 years
Human,1,1,4,63,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.3249585,1,Short,5 years
Human,1,1,4,64,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.373877145,0,Short,5 years
Human,1,1,4,65,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.558770841,1,Short,5 years
Human,1,1,4,66,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.324217611,0,Short,5 years
Human,1,1,4,67,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.529834854,1,Short,5 years
Human,1,1,4,68,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,4.432708674,0,Short,5 years
Human,1,1,4,69,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.031700408,0,Short,5 years
Human,1,1,4,70,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.134437251,1,Short,5 years
Human,79,79,1,11,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.334627658,1,Long,5 years
Human,79,79,1,12,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,0.127986064,0,Long,5 years
Human,79,79,1,13,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.14463316,1,Long,5 years
Human,79,79,1,14,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.5250626,1,Long,5 years
Human,79,79,1,15,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,0.574961222,0,Long,5 years
Human,79,79,1,16,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.237441967,1,Long,5 years
Human,79,79,1,17,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,0.905747595,0,Long,5 years
Human,79,79,1,18,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,0.901486265,0,Long,5 years
Human,79,79,1,19,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,0.457023994,0,Long,5 years
Human,79,79,1,20,Visual,TR,0.9;1;1.1;1.2;1.3,1,4.344732538,0,Long,5 years
Human,79,79,1,21,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,0.829724996,0,Long,5 years
Human,79,79,1,22,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.70672555,0,Long,5 years
Human,79,79,1,23,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.808290792,1,Long,5 years
Human,79,79,1,24,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.407300482,0,Long,5 years
Human,79,79,1,25,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.240642409,1,Long,5 years
Human,79,79,2,26,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.341518319,0,Long,5 years
Human,79,79,2,27,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.61453052,0,Long,5 years
Human,79,79,2,28,Visual,TR,0.9;1;1.1;1.2;1.3,1,3.999231512,0,Long,5 years
Human,79,79,2,29,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.050896355,1,Long,5 years
Human,79,79,2,30,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.35437964,1,Long,5 years
Human,79,79,2,31,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.047680802,0,Long,5 years
Human,79,79,2,32,Visual,TR,0.9;1;1.1;1.2;1.3,1,0.763115722,1,Long,5 years
Human,79,79,2,33,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.796066359,0,Long,5 years
Human,79,79,2,34,Visual,TR,0.9;1;1.1;1.2;1.3,1,0.226361087,0,Long,5 years
Human,79,79,2,35,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.221289981,1,Long,5 years
Human,79,79,2,36,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,0.868966739,1,Long,5 years
Human,79,79,2,37,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,0.983024415,1,Long,5 years
Human,79,79,2,38,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.059026125,1,Long,5 years
Human,79,79,2,39,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,2.236753523,0,Long,5 years
Human,79,79,2,40,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,0.76929616,0,Long,5 years
Human,79,79,3,41,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,2.101193199,0,Long,5 years
Human,79,79,3,42,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.263733943,1,Long,5 years
Human,79,79,3,43,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.917392918,1,Long,5 years
Human,79,79,3,44,Visual,TR,0.9;1;1.1;1.2;1.3,1,0.962377767,1,Long,5 years
Human,79,79,3,45,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,0.763876165,1,Long,5 years
Human,79,79,3,46,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,0.84552987,1,Long,5 years
Human,79,79,3,47,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.314994787,0,Long,5 years
Human,79,79,3,48,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.26725394,0,Long,5 years
Human,79,79,3,49,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,4.2123371,0,Long,5 years
Human,79,79,3,50,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.313785899,1,Long,5 years
Human,79,79,3,51,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,0.665689142,0,Long,5 years
Human,79,79,3,52,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.431897794,0,Long,5 years
Human,79,79,3,53,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,2.889396943,0,Long,5 years
Human,79,79,3,54,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.769402383,1,Long,5 years
Human,79,79,3,55,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.468821317,1,Long,5 years
Human,79,79,4,56,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.83213566,0,Long,5 years
Human,79,79,4,57,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.1880869,1,Long,5 years
Human,79,79,4,58,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.294710805,0,Long,5 years
Human,79,79,4,59,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,2.65258382,0,Long,5 years
Human,79,79,4,60,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,0.908382259,1,Long,5 years
