Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Confidence
Human,1,1,1,1,Visual,TR,3,3,3.444,1
Human,1,1,1,2,Visual,TR,3,3,3.002,3
Human,1,1,1,3,Visual,TR,3,3,5.3547,1
Human,1,1,1,4,Visual,TR,3,3,2.5594,3
Human,1,1,1,5,Visual,TR,3,3,3.7453,3
Human,1,1,1,6,Visual,TR,3,3,3.5592,2
Human,1,1,1,7,Visual,TR,3,3,2.2172,3
Human,1,1,1,8,Visual,TR,3,3,3.6588,3
Human,1,1,1,9,Visual,TR,3,3,2.8772,2
Human,1,1,1,10,Visual,TR,3,3,2.3801,1
Human,1,1,1,11,Visual,TR,3,3,3.178,3
Human,1,1,1,12,Visual,TR,3,3,4.1011,3
Human,1,1,1,13,Visual,TR,3,3,3.2294,3
Human,1,1,1,14,Visual,TR,3,3,3.4431,3
Human,1,1,1,15,Visual,TR,3,3,1.8891,3
Human,1,1,1,16,Visual,TR,3,3,3.0447,3
Human,1,1,1,17,Visual,TR,3,3,2.5522,3
Human,1,1,1,18,Visual,TR,3,3,2.6718,2
Human,1,1,1,19,Visual,TR,3,3,2.2797,3
Human,1,1,1,20,Visual,TR,3,3,3.0962,2
Human,1,1,1,21,Visual,TR,3,3,1.9749,3
Human,1,1,1,22,Visual,TR,3,3,2.0668,3
Human,1,1,1,23,Visual,TR,3,3,2.9427,2
Human,1,1,1,24,Visual,TR,3,3,2.3703,1
Human,1,1,1,25,Visual,TR,3,3,3.3356,2
Human,1,1,1,26,Visual,TR,3,3,3.608,2
Human,1,1,1,27,Visual,TR,3,3,2.0919,3
Human,1,1,1,28,Visual,TR,3,3,2.6362,3
Human,1,1,1,29,Visual,TR,3,3,2.9371,2
Human,1,1,1,30,Visual,TR,3,3,2.6329,3
Human,1,1,1,31,Visual,TR,3,3,3.7457,3
Human,1,1,1,32,Visual,TR,3,3,3.2152,2
Human,1,1,1,33,Visual,TR,3,3,3.3022,2
Human,1,1,1,34,Visual,TR,3,3,3.1049,3
Human,1,1,1,35,Visual,TR,3,3,1.9423,2
Human,1,1,1,36,Visual,TR,3,3,2.7865,3
Human,1,1,1,37,Visual,TR,3,3,2.0559,3
Human,1,1,1,38,Visual,TR,3,3,3.35,3
Human,1,1,1,39,Visual,TR,3,3,2.9505,2
Human,1,1,1,40,Visual,TR,3,3,3.7446,1
Human,1,1,1,41,Visual,TR,3,3,2.6172,2
Human,1,1,1,42,Visual,TR,3,3,3.369,2
Human,1,1,1,43,Visual,TR,3,3,2.8303,3
Human,1,1,1,44,Visual,TR,3,3,3.4615,1
Human,1,1,1,45,Visual,TR,3,3,3.1717,3
Human,1,1,1,46,Visual,TR,3,3,3.2056,2
