Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Release,Task
Human,1,1,1,1,Auditory,TR,6.1,6.1,3.181883495,3.348162981,Point
Human,1,1,1,2,Auditory,TR,0.8,0.8,0.600051459,0.766365629,Point
Human,1,1,1,3,Auditory,TR,4.1,4.1,2.082383078,2.282428662,Point
Human,1,1,1,4,Auditory,TR,4.1,4.1,2.331720907,2.53216252,Point
Human,1,1,1,5,Auditory,TR,0.8,0.8,0.55001175,0.716588169,Point
Human,1,1,1,6,Auditory,TR,1.2,1.2,0.933160766,1.06617494,Point
Human,1,1,1,7,Auditory,TR,6.1,6.1,3.16522518,3.348391255,Point
Human,1,1,1,8,Auditory,TR,6.1,6.1,3.131359633,3.332041552,Point
Human,1,1,1,9,Auditory,TR,1.8,1.8,1.199623012,1.382918265,Point
Human,1,1,1,10,Auditory,TR,1.2,1.2,0.899524554,1.016437473,Point
Human,1,1,1,11,Auditory,TR,0.8,0.8,0.866824795,1.016666808,Point
Human,1,1,1,12,Auditory,TR,4.1,4.1,2.365676702,2.532373451,Point
Human,1,1,1,13,Auditory,TR,1.8,1.8,1.483173931,1.616138558,Point
Human,1,1,1,14,Auditory,TR,1.8,1.8,1.099519528,1.282719224,Point
Human,1,1,1,15,Auditory,TR,2.7,2.7,1.615926565,1.799266764,Point
Human,1,1,1,16,Auditory,TR,4.1,4.1,2.199208581,2.382360498,Point
Human,1,1,1,17,Auditory,TR,1.2,1.2,0.816844897,0.966508185,Point
Human,1,1,1,18,Auditory,TR,0.8,0.8,0.549854967,0.732918406,Point
Human,1,1,1,19,Auditory,TR,0.8,0.8,0.683101308,0.83248819,Point
Human,1,1,1,20,Auditory,TR,2.7,2.7,1.516013485,1.715435121,Point
Human,1,1,1,21,Auditory,TR,6.1,6.1,3.182153884,3.382175402,Point
Human,1,1,1,22,Auditory,TR,4.1,4.1,2.498884113,2.665588295,Point
Human,1,1,1,23,Auditory,TR,2.7,2.7,1.665642797,1.849226842,Point
Human,1,1,1,24,Auditory,TR,0.8,0.8,0.666438747,0.849501125,Point
Human,1,1,1,25,Auditory,TR,6.1,6.1,2.665358606,2.815486226,Point
Human,1,1,1,26,Auditory,TR,1.2,1.2,1.15014107,1.300106598,Point
Human,1,1,1,27,Auditory,TR,2.7,2.7,1.816426572,1.966173737,Point
Human,1,1,1,28,Auditory,TR,4.1,4.1,2.815557009,2.982039995,Point
Human,1,1,1,29,Auditory,TR,1.2,1.2,0.982980695,1.099477767,Point
Human,1,1,1,30,Auditory,TR,1.8,1.8,1.249732088,1.416724354,Point
Human,1,1,1,31,Auditory,TR,1.8,1.8,1.232729417,1.416189239,Point
Human,1,1,1,32,Auditory,TR,2.7,2.7,1.699409603,1.882527899,Point
Human,1,1,1,33,Auditory,TR,1.2,1.2,0.98294955,1.132172571,Point
Human,1,1,1,34,Auditory,TR,6.1,6.1,3.36533093,3.53206307,Point
Human,1,1,1,35,Auditory,TR,1.8,1.8,1.066391535,1.182835166,Point
Human,1,1,1,36,Auditory,TR,2.7,2.7,1.499553008,1.648902021,Point
Human,1,1,2,1,Auditory,TR,2.7,2.7,1.232753837,1.365960186,Start
Human,1,1,2,2,Auditory,TR,6.1,6.1,1.866007257,1.982437085,Start
Human,1,1,2,3,Auditory,TR,1.2,1.2,0.482664651,0.666138983,Start
Human,1,1,2,4,Auditory,TR,1.2,1.2,0.466320611,0.632649291,Start
Human,1,1,2,5,Auditory,TR,1.8,1.8,0.899454833,1.049409037,Start
Human,1,1,2,6,Auditory,TR,0.8,0.8,0.449761392,0.616466989,Start
Human,1,1,2,7,Auditory,TR,0.8,0.8,0.4669166,0.650005521,Start
Human,1,1,2,8,Auditory,TR,6.1,6.1,2.348970256,2.515806093,Start
Human,1,1,2,9,Auditory,TR,1.8,1.8,0.899269029,1.049567943,Start
Human,1,1,2,10,Auditory,TR,1.2,1.2,0.766594964,0.915962027,Start
Human,1,1,2,11,Auditory,TR,1.8,1.8,0.783697793,0.899723099,Start
Human,1,1,2,12,Auditory,TR,2.7,2.7,0.899435014,1.016179824,Start
Human,1,1,2,13,Auditory,TR,2.7,2.7,1.366029907,1.49943374,Start
Human,1,1,2,14,Auditory,TR,2.7,2.7,0.999363665,1.116340996,Start
Human,1,1,2,15,Auditory,TR,4.1,4.1,1.71584743,1.849192159,Start
Human,1,1,2,16,Auditory,TR,4.1,4.1,2.065809349,2.215724622,Start
Human,1,1,2,17,Auditory,TR,6.1,6.1,2.498904994,2.649166748,Start
Human,1,1,2,18,Auditory,TR,4.1,4.1,2.149396083,2.282671092,Start
Human,1,1,2,19,Auditory,TR,1.2,1.2,0.599836988,0.733177824,Start
Human,1,1,2,20,Auditory,TR,1.8,1.8,0.99920759,1.099155706,Start
Human,1,1,2,21,Auditory,TR,1.2,1.2,0.683082551,0.816425511,Start
Human,1,1,2,22,Auditory,TR,2.7,2.7,1.39992766,1.533118438,Start
Human,1,1,2,23,Auditory,TR,6.1,6.1,2.698991986,2.849029359,Start
Human,1,1,2,24,Auditory,TR,0.8,0.8,0.649564546,0.749704129,Start
Human,1,1,2,25,Auditory,TR,1.2,1.2,0.566156891,0.732692256,Start
Human,1,1,2,26,Auditory,TR,6.1,6.1,2.248955604,2.432346413,Start
Human,1,1,2,27,Auditory,TR,6.1,6.1,3.481414631,3.582014301,Start
Human,1,1,2,28,Auditory,TR,0.8,0.8,0.582695229,0.699172835,Start
Human,1,1,2,29,Auditory,TR,0.8,0.8,0.499717224,0.633105838,Start
Human,1,1,2,30,Auditory,TR,4.1,4.1,2.049030704,2.215735947,Start
Human,1,1,2,31,Auditory,TR,4.1,4.1,2.748714589,2.881632854,Start
Human,1,1,2,32,Auditory,TR,1.8,1.8,1.033004832,1.166269577,Start
Human,1,1,2,33,Auditory,TR,4.1,4.1,2.282811241,2.399534817,Start
Human,1,1,2,34,Auditory,TR,1.8,1.8,1.066085754,1.215713297,Start
Human,1,1,2,35,Auditory,TR,2.7,2.7,1.815927909,1.982464336,Start
Human,1,1,2,36,Auditory,TR,0.8,0.8,0.583489763,0.733522535,Start
Human,1,1,3,1,Auditory,TR,6.1,6.1,3.865209184,4.048307307,Stop
Human,1,1,3,2,Auditory,TR,1.8,1.8,1.849233567,2.049217216,Stop
Human,1,1,3,3,Auditory,TR,6.1,6.1,4.048393661,4.231550888,Stop
Human,1,1,3,4,Auditory,TR,0.8,0.8,1.282973333,1.449475077,Stop
Human,1,1,3,5,Auditory,TR,1.2,1.2,1.366322239,1.532791422,Stop
Human,1,1,3,6,Auditory,TR,4.1,4.1,3.314899439,3.448661078,Stop
Human,1,1,3,7,Auditory,TR,4.1,4.1,2.799006284,2.998896854,Stop
Human,1,1,3,8,Auditory,TR,2.7,2.7,2.365657945,2.515404048,Stop
Human,1,1,3,9,Auditory,TR,1.8,1.8,1.899772647,2.049656776,Stop
Human,1,1,3,10,Auditory,TR,4.1,4.1,2.482562016,2.665889121,Stop
Human,1,1,3,11,Auditory,TR,2.7,2.7,2.615755625,2.782015646,Stop
Human,1,1,3,12,Auditory,TR,4.1,4.1,2.865161051,3.064705849,Stop
Human,1,1,3,13,Auditory,TR,1.2,1.2,1.682581411,1.865389679,Stop
Human,1,1,3,14,Auditory,TR,2.7,2.7,2.16645255,2.349073244,Stop
Human,1,1,3,15,Auditory,TR,0.8,0.8,1.249556194,1.382741662,Stop
Human,1,1,3,16,Auditory,TR,0.8,0.8,1.16628798,1.349452285,Stop
Human,1,1,3,17,Auditory,TR,1.2,1.2,1.316224488,1.449642831,Stop
Human,1,1,3,18,Auditory,TR,0.8,0.8,1.449327849,1.599326646,Stop
Human,1,1,3,19,Auditory,TR,1.2,1.2,1.699230169,1.882470565,Stop
Human,1,1,3,20,Auditory,TR,6.1,6.1,3.631865728,3.798446394,Stop
Human,1,1,3,21,Auditory,TR,6.1,6.1,4.297797672,4.464895759,Stop
Human,1,1,3,22,Auditory,TR,1.8,1.8,1.882715119,2.049136524,Stop
Human,1,1,3,23,Auditory,TR,6.1,6.1,4.531568654,4.681723526,Stop
Human,1,1,3,24,Auditory,TR,2.7,2.7,2.749253244,2.965901578,Stop
Human,1,1,3,25,Auditory,TR,0.8,0.8,1.516167791,1.699663004,Stop
Human,1,1,3,26,Auditory,TR,2.7,2.7,2.648894943,2.865479573,Stop
Human,1,1,3,27,Auditory,TR,1.8,1.8,1.982392846,2.182322346,Stop
Human,1,1,3,28,Auditory,TR,1.8,1.8,2.848840016,3.031933184,Stop
Human,1,1,3,29,Auditory,TR,4.1,4.1,5.131265493,5.364786258,Stop
Human,1,1,3,30,Auditory,TR,2.7,2.7,2.948722658,3.181953569,Stop
Human,1,1,3,31,Auditory,TR,1.8,1.8,2.349622163,2.549474157,Stop
Human,1,1,3,32,Auditory,TR,1.2,1.2,2.215687107,2.399059866,Stop
Human,1,1,3,33,Auditory,TR,6.1,6.1,5.381957038,5.565101169,Stop
Human,1,1,3,34,Auditory,TR,0.8,0.8,1.382751572,1.565859604,Stop
Human,1,1,3,35,Auditory,TR,4.1,4.1,4.348328258,4.56486334,Stop
Human,1,1,3,36,Auditory,TR,1.2,1.2,2.099165262,2.298980448,Stop
Human,2,2,1,1,Auditory,TR,6.1,6.1,3.531885888,3.665444497,Point
Human,2,2,1,2,Auditory,TR,2.7,2.7,1.715699737,1.816000348,Point
Human,2,2,1,3,Auditory,TR,1.2,1.2,0.649644887,0.766351002,Point
Human,2,2,1,4,Auditory,TR,2.7,2.7,2.532221395,2.649304425,Point
Human,2,2,1,5,Auditory,TR,0.8,0.8,0.599648001,0.683312712,Point
Human,2,2,1,6,Auditory,TR,0.8,0.8,0.516411521,0.616314337,Point
Human,2,2,1,7,Auditory,TR,1.2,1.2,0.883144534,0.982933037,Point
Human,2,2,1,8,Auditory,TR,4.1,4.1,2.415825304,2.599149342,Point
Human,2,2,1,9,Auditory,TR,0.8,0.8,1.066168102,1.132864591,Point
Human,2,2,1,10,Auditory,TR,6.1,6.1,3.681960068,3.765386243,Point
Human,2,2,1,11,Auditory,TR,4.1,4.1,3.098539554,3.181985549,Point
Human,2,2,1,12,Auditory,TR,1.2,1.2,0.54955556,0.68279388,Point
Human,2,2,1,13,Auditory,TR,1.8,1.8,1.166066671,1.233029655,Point
Human,2,2,1,14,Auditory,TR,1.8,1.8,1.3328355,1.416281141,Point
Human,2,2,1,15,Auditory,TR,2.7,2.7,2.132375133,2.232020303,Point
Human,2,2,1,16,Auditory,TR,0.8,0.8,0.516411875,0.616338757,Point
Human,2,2,1,17,Auditory,TR,2.7,2.7,2.182614447,2.282224934,Point
Human,2,2,1,18,Auditory,TR,4.1,4.1,2.532483642,2.648905922,Point
Human,2,2,1,19,Auditory,TR,1.2,1.2,1.33300927,1.416087198,Point
Human,2,2,1,20,Auditory,TR,1.8,1.8,1.399243199,1.499426666,Point
Human,2,2,1,21,Auditory,TR,4.1,4.1,2.632175882,2.694399301,Point
Human,2,2,1,22,Auditory,TR,6.1,6.1,3.448442371,3.548366068,Point
Human,2,2,1,23,Auditory,TR,1.2,1.2,1.199059236,1.266337554,Point
Human,2,2,1,24,Auditory,TR,1.8,1.8,1.066227205,1.099525548,Point
Human,2,2,1,25,Auditory,TR,2.7,2.7,1.766229611,1.866355037,Point
Human,2,2,1,26,Auditory,TR,6.1,6.1,3.731770089,3.815229532,Point
Human,2,2,1,27,Auditory,TR,4.1,4.1,3.265282194,3.398511666,Point
Human,2,2,1,28,Auditory,TR,0.8,0.8,0.499682543,0.566416193,Point
