Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,MCI
Human,1,2,1,13,Auditory,TR,1;1.17;1.4;1.68,1.4,1.36284,0
Human,1,2,1,14,Auditory,TR,1;1.17;1.4;1.68,1.4,1.37994,0
Human,1,2,1,15,Auditory,TR,1;1.17;1.4;1.68,1.17,1.24155,0
Human,1,2,1,16,Auditory,TR,1;1.17;1.4;1.68,1.4,1.37017,0
Human,1,2,1,17,Auditory,TR,1;1.17;1.4;1.68,1.68,1.45257,0
Human,1,2,1,18,Auditory,TR,1;1.17;1.4;1.68,1.4,1.94061,0
Human,1,2,1,19,Auditory,TR,1;1.17;1.4;1.68,1.17,0.81632,0
Human,1,2,1,20,Auditory,TR,1;1.17;1.4;1.68,1.68,1.32671,0
Human,1,2,1,21,Auditory,TR,1;1.17;1.4;1.68,1.68,1.62883,0
Human,1,2,1,22,Auditory,TR,1;1.17;1.4;1.68,1.17,1.25548,0
Human,1,2,1,23,Auditory,TR,1;1.17;1.4;1.68,1.17,1.23053,0
Human,1,2,1,24,Auditory,TR,1;1.17;1.4;1.68,1.68,1.2869,0
Human,1,2,1,25,Auditory,TR,1;1.17;1.4;1.68,1.4,1.48628,0
Human,1,2,1,26,Auditory,TR,1;1.17;1.4;1.68,1.4,1.27466,0
Human,1,2,1,27,Auditory,TR,1;1.17;1.4;1.68,1.17,1.11045,0
Human,1,2,1,28,Auditory,TR,1;1.17;1.4;1.68,1.17,1.3052,0
Human,1,2,1,29,Auditory,TR,1;1.17;1.4;1.68,1.17,1.14275,0
Human,1,2,1,30,Auditory,TR,1;1.17;1.4;1.68,1.4,1.29554,0
Human,1,3,1,1,Auditory,TR,1;1.17;1.4;1.68,1.17,1.1943,0
Human,1,3,1,2,Auditory,TR,1;1.17;1.4;1.68,1.68,1.38918,0
Human,1,3,1,3,Auditory,TR,1;1.17;1.4;1.68,1.4,1.25201,0
Human,1,3,1,4,Auditory,TR,1;1.17;1.4;1.68,1.68,1.52523,0
Human,1,3,1,5,Auditory,TR,1;1.17;1.4;1.68,1.4,1.53065,0
Human,1,3,1,6,Auditory,TR,1;1.17;1.4;1.68,1.17,1.15731,0
Human,1,3,1,7,Auditory,TR,1;1.17;1.4;1.68,1.4,1.21672,0
Human,1,3,1,8,Auditory,TR,1;1.17;1.4;1.68,1.68,1.58865,0
Human,1,3,1,9,Auditory,TR,1;1.17;1.4;1.68,1.4,1.43786,0
Human,1,3,1,10,Auditory,TR,1;1.17;1.4;1.68,1.68,1.21653,0
Human,1,3,1,11,Auditory,TR,1;1.17;1.4;1.68,1.17,1.29461,0
Human,1,3,1,12,Auditory,TR,1;1.17;1.4;1.68,1.17,1.12442,0
Human,1,3,1,13,Auditory,TR,1;1.17;1.4;1.68,1.4,0.92765,0
Human,1,3,1,14,Auditory,TR,1;1.17;1.4;1.68,1.17,1.25385,0
Human,1,3,1,15,Auditory,TR,1;1.17;1.4;1.68,1.68,1.32534,0
Human,1,3,1,16,Auditory,TR,1;1.17;1.4;1.68,1.68,1.37059,0
Human,1,3,1,17,Auditory,TR,1;1.17;1.4;1.68,1.68,1.41271,0
Human,1,3,1,18,Auditory,TR,1;1.17;1.4;1.68,1.4,1.41863,0
Human,1,3,1,19,Auditory,TR,1;1.17;1.4;1.68,1.4,1.33433,0
Human,1,3,1,20,Auditory,TR,1;1.17;1.4;1.68,1.17,1.39725,0
Human,1,3,1,21,Auditory,TR,1;1.17;1.4;1.68,1.68,1.53861,0
Human,1,3,1,22,Auditory,TR,1;1.17;1.4;1.68,1.17,1.20462,0
Human,1,3,1,23,Auditory,TR,1;1.17;1.4;1.68,1.17,1.2607,0
Human,1,3,1,24,Auditory,TR,1;1.17;1.4;1.68,1.17,1.02163,0
Human,1,3,1,25,Auditory,TR,1;1.17;1.4;1.68,1.4,1.17473,0
Human,1,3,1,26,Auditory,TR,1;1.17;1.4;1.68,1.4,1.16234,0
Human,1,3,1,27,Auditory,TR,1;1.17;1.4;1.68,1.4,1.39774,0
Human,1,3,1,28,Auditory,TR,1;1.17;1.4;1.68,1.68,1.30357,0
Human,1,3,1,29,Auditory,TR,1;1.17;1.4;1.68,1.68,1.40488,0
Human,1,3,1,30,Auditory,TR,1;1.17;1.4;1.68,1.17,0.92013,0
Human,1,4,1,1,Auditory,TR,1;1.17;1.4;1.68,1.68,1.58527,0
Human,1,4,1,2,Auditory,TR,1;1.17;1.4;1.68,1.68,1.43362,0
Human,1,4,1,3,Auditory,TR,1;1.17;1.4;1.68,1.68,1.37387,0
Human,1,4,1,4,Auditory,TR,1;1.17;1.4;1.68,1.68,1.57202,0
Human,1,4,1,5,Auditory,TR,1;1.17;1.4;1.68,1.4,1.04402,0
Human,1,4,1,6,Auditory,TR,1;1.17;1.4;1.68,1.4,1.14083,0
Human,1,4,1,7,Auditory,TR,1;1.17;1.4;1.68,1.68,1.54985,0
Human,1,4,1,8,Auditory,TR,1;1.17;1.4;1.68,1.4,1.42619,0
Human,1,4,1,9,Auditory,TR,1;1.17;1.4;1.68,1.17,1.38909,0
Human,1,4,1,10,Auditory,TR,1;1.17;1.4;1.68,1.17,1.10075,0
Human,1,4,1,11,Auditory,TR,1;1.17;1.4;1.68,1.68,1.48467,0
Human,1,4,1,12,Auditory,TR,1;1.17;1.4;1.68,1.17,1.35411,0
Human,1,4,1,13,Auditory,TR,1;1.17;1.4;1.68,1.17,1.24239,0
Human,1,4,1,14,Auditory,TR,1;1.17;1.4;1.68,1.4,1.24077,0
Human,1,4,1,15,Auditory,TR,1;1.17;1.4;1.68,1.17,1.40509,0
Human,1,4,1,16,Auditory,TR,1;1.17;1.4;1.68,1.68,1.47301,0
Human,1,4,1,17,Auditory,TR,1;1.17;1.4;1.68,1.4,1.1531,0
Human,1,4,1,18,Auditory,TR,1;1.17;1.4;1.68,1.68,1.50459,0
Human,1,4,1,19,Auditory,TR,1;1.17;1.4;1.68,1.17,1.07675,0
Human,1,4,1,20,Auditory,TR,1;1.17;1.4;1.68,1.68,1.53164,0
Human,1,4,1,21,Auditory,TR,1;1.17;1.4;1.68,1.4,1.32954,0
Human,1,4,1,22,Auditory,TR,1;1.17;1.4;1.68,1.4,1.34757,0
Human,1,4,1,23,Auditory,TR,1;1.17;1.4;1.68,1.17,1.33171,0
Human,1,4,1,24,Auditory,TR,1;1.17;1.4;1.68,1.4,1.44439,0
Human,1,4,1,25,Auditory,TR,1;1.17;1.4;1.68,1.68,1.44303,0
Human,1,4,1,26,Auditory,TR,1;1.17;1.4;1.68,1.17,1.13879,0
Human,1,4,1,27,Auditory,TR,1;1.17;1.4;1.68,1.4,1.49911,0
Human,1,4,1,28,Auditory,TR,1;1.17;1.4;1.68,1.4,1.26545,0
Human,1,4,1,29,Auditory,TR,1;1.17;1.4;1.68,1.17,1.09829,0
Human,1,4,1,30,Auditory,TR,1;1.17;1.4;1.68,1.17,1.26215,0
Human,2,NaN,1,1,Auditory,Training,1;1.17;1.4;1.68,1,0.76023,0
Human,2,NaN,1,2,Auditory,Training,1;1.17;1.4;1.68,1,0.90346,0
Human,2,NaN,1,3,Auditory,Training,1;1.17;1.4;1.68,1,0.68922,0
Human,2,NaN,1,4,Auditory,Training,1;1.17;1.4;1.68,1,0.48759,0
Human,2,NaN,1,5,Auditory,Training,1;1.17;1.4;1.68,1,0.52512,0
Human,2,NaN,1,6,Auditory,Training,1;1.17;1.4;1.68,1,0.64193,0
Human,2,NaN,1,7,Auditory,Training,1;1.17;1.4;1.68,1,0.50684,0
Human,2,NaN,1,8,Auditory,Training,1;1.17;1.4;1.68,1,0.65968,0
Human,2,NaN,1,9,Auditory,Training,1;1.17;1.4;1.68,1,0.80714,0
Human,2,NaN,1,10,Auditory,Training,1;1.17;1.4;1.68,1,0.64626,0
Human,2,NaN,1,11,Auditory,Training,1;1.17;1.4;1.68,1,0.72432,0
Human,2,NaN,1,12,Auditory,Training,1;1.17;1.4;1.68,1,0.62618,0
Human,2,NaN,1,13,Auditory,Training,1;1.17;1.4;1.68,1,0.68316,0
Human,2,NaN,1,14,Auditory,Training,1;1.17;1.4;1.68,1,0.44925,0
Human,2,NaN,1,15,Auditory,Training,1;1.17;1.4;1.68,1,0.73218,0
Human,2,NaN,1,16,Auditory,Training,1;1.17;1.4;1.68,1,0.61126,0
Human,2,NaN,1,17,Auditory,Training,1;1.17;1.4;1.68,1,0.48291,0
Human,2,NaN,1,18,Auditory,Training,1;1.17;1.4;1.68,1,0.60263,0
Human,2,NaN,1,19,Auditory,Training,1;1.17;1.4;1.68,1,0.68128,0
Human,2,NaN,1,20,Auditory,Training,1;1.17;1.4;1.68,1,0.44737,0
Human,2,1,1,1,Auditory,TR,1;1.17;1.4;1.68,1.17,0.99023,0
Human,2,1,1,2,Auditory,TR,1;1.17;1.4;1.68,1.17,1.14935,0
Human,2,1,1,3,Auditory,TR,1;1.17;1.4;1.68,1.17,1.09539,0
Human,2,1,1,4,Auditory,TR,1;1.17;1.4;1.68,1.68,1.66613,0
Human,2,1,1,5,Auditory,TR,1;1.17;1.4;1.68,1.4,1.19975,0
Human,2,1,1,6,Auditory,TR,1;1.17;1.4;1.68,1.68,1.58045,0
Human,2,1,1,7,Auditory,TR,1;1.17;1.4;1.68,1.68,1.73573,0
Human,2,1,1,8,Auditory,TR,1;1.17;1.4;1.68,1.17,1.20858,0
Human,2,1,1,9,Auditory,TR,1;1.17;1.4;1.68,1.17,1.17686,0
Human,2,1,1,10,Auditory,TR,1;1.17;1.4;1.68,1.4,1.29335,0
Human,2,1,1,11,Auditory,TR,1;1.17;1.4;1.68,1.17,1.02065,0
Human,2,1,1,12,Auditory,TR,1;1.17;1.4;1.68,1.4,1.36091,0
Human,2,1,1,13,Auditory,TR,1;1.17;1.4;1.68,1.68,1.60696,0
Human,2,1,1,14,Auditory,TR,1;1.17;1.4;1.68,1.68,1.42848,0
Human,2,1,1,15,Auditory,TR,1;1.17;1.4;1.68,1.4,1.30542,0
Human,2,1,1,16,Auditory,TR,1;1.17;1.4;1.68,1.17,1.2427,0
Human,2,1,1,17,Auditory,TR,1;1.17;1.4;1.68,1.68,1.57518,0
Human,2,1,1,18,Auditory,TR,1;1.17;1.4;1.68,1.68,1.36145,0
Human,2,1,1,19,Auditory,TR,1;1.17;1.4;1.68,1.4,1.413,0
Human,2,1,1,20,Auditory,TR,1;1.17;1.4;1.68,1.4,1.29643,0
